Epoch 1 | Train Loss: 0.36866168 | Test Loss: 0.35403568 | Train Error: -3.58865532 | Test Error: -0.96600354 | Train Error_abs: 4.69510878 | Test Error_abs: 1.59731437
Epoch 2 | Train Loss: 0.34204793 | Test Loss: 0.30605015 | Train Error: 5.99796335 | Test Error: -0.82458328 | Train Error_abs: 9.53218797 | Test Error_abs: 2.70836169
Epoch 3 | Train Loss: 0.29435068 | Test Loss: 0.25966471 | Train Error: 31.29012937 | Test Error: -0.57866902 | Train Error_abs: 36.53235217 | Test Error_abs: 5.06869238
Epoch 4 | Train Loss: 0.26362767 | Test Loss: 0.23971238 | Train Error: 35.39283603 | Test Error: -0.52947198 | Train Error_abs: 42.15551975 | Test Error_abs: 5.99477252
Epoch 5 | Train Loss: 0.24839820 | Test Loss: 0.22734651 | Train Error: 17.71534211 | Test Error: -0.55724820 | Train Error_abs: 24.57945493 | Test Error_abs: 6.30126879
Epoch 6 | Train Loss: 0.23731069 | Test Loss: 0.21782416 | Train Error: 11.20882126 | Test Error: -0.59495342 | Train Error_abs: 18.31553897 | Test Error_abs: 6.45296318
Epoch 7 | Train Loss: 0.22855621 | Test Loss: 0.21005627 | Train Error: 25.75561379 | Test Error: -0.62120575 | Train Error_abs: 32.93832572 | Test Error_abs: 6.47979674
Epoch 8 | Train Loss: 0.22116630 | Test Loss: 0.20333798 | Train Error: 25.39555590 | Test Error: -0.63000935 | Train Error_abs: 32.44953777 | Test Error_abs: 6.49631116
Epoch 9 | Train Loss: 0.21465144 | Test Loss: 0.19707082 | Train Error: 10.36523465 | Test Error: -0.63761856 | Train Error_abs: 17.35706834 | Test Error_abs: 6.37951301
Epoch 10 | Train Loss: 0.20843321 | Test Loss: 0.19073804 | Train Error: 25.34143702 | Test Error: -0.63358945 | Train Error_abs: 32.12768424 | Test Error_abs: 6.34422301
Epoch 11 | Train Loss: 0.20198418 | Test Loss: 0.18421853 | Train Error: 20.22492511 | Test Error: -0.64259701 | Train Error_abs: 27.20622531 | Test Error_abs: 6.21232487
Epoch 12 | Train Loss: 0.19569655 | Test Loss: 0.17745878 | Train Error: 2.54037740 | Test Error: -0.63686279 | Train Error_abs: 9.16048030 | Test Error_abs: 6.18135505
Epoch 13 | Train Loss: 0.18905524 | Test Loss: 0.17036547 | Train Error: 5.26215189 | Test Error: -0.61903188 | Train Error_abs: 12.02278174 | Test Error_abs: 6.04841868
Epoch 14 | Train Loss: 0.18212258 | Test Loss: 0.16331161 | Train Error: 10.09355984 | Test Error: -0.60045406 | Train Error_abs: 16.59955836 | Test Error_abs: 5.92606304
Epoch 15 | Train Loss: 0.17583723 | Test Loss: 0.15636883 | Train Error: 14.90706678 | Test Error: -0.57927956 | Train Error_abs: 21.37635209 | Test Error_abs: 5.80564985
Epoch 16 | Train Loss: 0.16918916 | Test Loss: 0.14956765 | Train Error: 14.48106273 | Test Error: -0.55007348 | Train Error_abs: 21.02359684 | Test Error_abs: 5.65833333
Epoch 17 | Train Loss: 0.16310321 | Test Loss: 0.14292085 | Train Error: -9.25124103 | Test Error: -0.48984446 | Train Error_abs: 13.87111319 | Test Error_abs: 5.51885640
Epoch 18 | Train Loss: 0.15680704 | Test Loss: 0.13674305 | Train Error: -6.33482373 | Test Error: -0.45115731 | Train Error_abs: 10.83262347 | Test Error_abs: 5.43088176
Epoch 19 | Train Loss: 0.15142294 | Test Loss: 0.13124872 | Train Error: -14.03886893 | Test Error: -0.38817312 | Train Error_abs: 18.47686691 | Test Error_abs: 5.49623875
Epoch 20 | Train Loss: 0.14609365 | Test Loss: 0.12618067 | Train Error: -0.46075687 | Test Error: -0.32590475 | Train Error_abs: 6.06431639 | Test Error_abs: 5.52762695
Epoch 21 | Train Loss: 0.14147882 | Test Loss: 0.12173260 | Train Error: -19.50268890 | Test Error: -0.26869751 | Train Error_abs: 24.15083787 | Test Error_abs: 5.56407511
Epoch 22 | Train Loss: 0.13731820 | Test Loss: 0.11795493 | Train Error: -31.51999732 | Test Error: -0.20761337 | Train Error_abs: 36.26476254 | Test Error_abs: 5.63086437
Epoch 23 | Train Loss: 0.13352660 | Test Loss: 0.11455686 | Train Error: -15.69254093 | Test Error: -0.14787365 | Train Error_abs: 20.28763113 | Test Error_abs: 5.76220994
Epoch 24 | Train Loss: 0.13015040 | Test Loss: 0.11162273 | Train Error: -29.35464546 | Test Error: -0.09631251 | Train Error_abs: 33.94725047 | Test Error_abs: 5.78708915
Epoch 25 | Train Loss: 0.12737567 | Test Loss: 0.10902884 | Train Error: -32.77857274 | Test Error: -0.03028017 | Train Error_abs: 37.50831477 | Test Error_abs: 5.83542720
Epoch 26 | Train Loss: 0.12454246 | Test Loss: 0.10656097 | Train Error: -29.07349571 | Test Error: 0.01662953 | Train Error_abs: 34.01934233 | Test Error_abs: 5.89297981
Epoch 27 | Train Loss: 0.12188121 | Test Loss: 0.10431354 | Train Error: -10.49694487 | Test Error: 0.06319548 | Train Error_abs: 15.24762459 | Test Error_abs: 5.94244755
