Epoch 1 | Train Loss: 1.31495800 | Test Loss: 0.72261346 | Train Error: 1.77732530 | Test Error: 2.13546785 | Train Error_abs: 2.26928801 | Test Error_abs: 2.49333899
Epoch 2 | Train Loss: 0.55852771 | Test Loss: 0.44549204 | Train Error: 2.62557025 | Test Error: 2.43547828 | Train Error_abs: 2.79284981 | Test Error_abs: 2.69039539
Epoch 3 | Train Loss: 0.39229210 | Test Loss: 0.32585273 | Train Error: 2.89026290 | Test Error: 2.57011172 | Train Error_abs: 2.98029363 | Test Error_abs: 2.77974970
Epoch 4 | Train Loss: 0.30769465 | Test Loss: 0.25430150 | Train Error: 3.03069689 | Test Error: 2.66138436 | Train Error_abs: 3.08515587 | Test Error_abs: 2.84061368
Epoch 5 | Train Loss: 0.25464944 | Test Loss: 0.20470062 | Train Error: 3.13315210 | Test Error: 2.72080971 | Train Error_abs: 3.16762547 | Test Error_abs: 2.88071290
Epoch 6 | Train Loss: 0.21625219 | Test Loss: 0.16907168 | Train Error: 3.19430252 | Test Error: 2.75298940 | Train Error_abs: 3.21892027 | Test Error_abs: 2.90246679
Epoch 7 | Train Loss: 0.18697652 | Test Loss: 0.14143285 | Train Error: 3.22174825 | Test Error: 2.76225855 | Train Error_abs: 3.24188352 | Test Error_abs: 2.90883437
Epoch 8 | Train Loss: 0.16454744 | Test Loss: 0.12181159 | Train Error: 3.23952331 | Test Error: 2.76755416 | Train Error_abs: 3.25753071 | Test Error_abs: 2.91237112
Epoch 9 | Train Loss: 0.14901424 | Test Loss: 0.10911345 | Train Error: 3.24581278 | Test Error: 2.76327338 | Train Error_abs: 3.26255446 | Test Error_abs: 2.90944229
Epoch 10 | Train Loss: 0.13885154 | Test Loss: 0.10126324 | Train Error: 3.24386579 | Test Error: 2.76070771 | Train Error_abs: 3.26060582 | Test Error_abs: 2.90773105
Epoch 11 | Train Loss: 0.13212654 | Test Loss: 0.09680622 | Train Error: 3.23785594 | Test Error: 2.75307532 | Train Error_abs: 3.25535557 | Test Error_abs: 2.90260424
Epoch 12 | Train Loss: 0.12833358 | Test Loss: 0.09451446 | Train Error: 3.23118302 | Test Error: 2.74984506 | Train Error_abs: 3.24922469 | Test Error_abs: 2.90043788
Epoch 13 | Train Loss: 0.12653570 | Test Loss: 0.09321827 | Train Error: 3.22891431 | Test Error: 2.74763344 | Train Error_abs: 3.24678663 | Test Error_abs: 2.89900706
Epoch 14 | Train Loss: 0.12586815 | Test Loss: 0.09295977 | Train Error: 3.22917265 | Test Error: 2.74645296 | Train Error_abs: 3.24712416 | Test Error_abs: 2.89822257
Epoch 15 | Train Loss: 0.12563743 | Test Loss: 0.09292197 | Train Error: 3.22890798 | Test Error: 2.74649038 | Train Error_abs: 3.24692924 | Test Error_abs: 2.89826340
Epoch 16 | Train Loss: 0.12538452 | Test Loss: 0.09289872 | Train Error: 3.22640444 | Test Error: 2.74716666 | Train Error_abs: 3.24451391 | Test Error_abs: 2.89873947
Epoch 17 | Train Loss: 0.12520988 | Test Loss: 0.09287196 | Train Error: 3.22548243 | Test Error: 2.74788700 | Train Error_abs: 3.24359559 | Test Error_abs: 2.89925063
Epoch 18 | Train Loss: 0.12525732 | Test Loss: 0.09287401 | Train Error: 3.22623273 | Test Error: 2.74862115 | Train Error_abs: 3.24420015 | Test Error_abs: 2.89975979
Epoch 19 | Train Loss: 0.12499803 | Test Loss: 0.09288705 | Train Error: 3.22145515 | Test Error: 2.74933099 | Train Error_abs: 3.23974510 | Test Error_abs: 2.90025552
Epoch 20 | Train Loss: 0.12518998 | Test Loss: 0.09289405 | Train Error: 3.22657620 | Test Error: 2.74974863 | Train Error_abs: 3.24474653 | Test Error_abs: 2.90055019
Epoch 21 | Train Loss: 0.12506737 | Test Loss: 0.09289555 | Train Error: 3.22536162 | Test Error: 2.74982385 | Train Error_abs: 3.24346497 | Test Error_abs: 2.90061042
Epoch 22 | Train Loss: 0.12515364 | Test Loss: 0.09290162 | Train Error: 3.22657189 | Test Error: 2.74993708 | Train Error_abs: 3.24470129 | Test Error_abs: 2.90069882
Epoch 23 | Train Loss: 0.12520299 | Test Loss: 0.09290987 | Train Error: 3.22667814 | Test Error: 2.75008949 | Train Error_abs: 3.24472043 | Test Error_abs: 2.90081760
Epoch 24 | Train Loss: 0.12519777 | Test Loss: 0.09291409 | Train Error: 3.22542899 | Test Error: 2.75015169 | Train Error_abs: 3.24348476 | Test Error_abs: 2.90087979
Epoch 25 | Train Loss: 0.12526576 | Test Loss: 0.09291323 | Train Error: 3.22672888 | Test Error: 2.75007422 | Train Error_abs: 3.24472338 | Test Error_abs: 2.90085285
Epoch 26 | Train Loss: 0.12519059 | Test Loss: 0.09291374 | Train Error: 3.22645982 | Test Error: 2.74999781 | Train Error_abs: 3.24459883 | Test Error_abs: 2.90083142
Epoch 27 | Train Loss: 0.12514393 | Test Loss: 0.09292573 | Train Error: 3.22390235 | Test Error: 2.75014769 | Train Error_abs: 3.24198766 | Test Error_abs: 2.90097476
Epoch 28 | Train Loss: 0.12526734 | Test Loss: 0.09293886 | Train Error: 3.22592445 | Test Error: 2.75031432 | Train Error_abs: 3.24407785 | Test Error_abs: 2.90113741
Epoch 29 | Train Loss: 0.12528575 | Test Loss: 0.09294641 | Train Error: 3.22597702 | Test Error: 2.75038600 | Train Error_abs: 3.24398996 | Test Error_abs: 2.90124000
Epoch 30 | Train Loss: 0.12495915 | Test Loss: 0.09296443 | Train Error: 3.22406952 | Test Error: 2.75052828 | Train Error_abs: 3.24207009 | Test Error_abs: 2.90140474
Epoch 31 | Train Loss: 0.12521938 | Test Loss: 0.09297493 | Train Error: 3.22634313 | Test Error: 2.75058857 | Train Error_abs: 3.24433317 | Test Error_abs: 2.90152171
Epoch 32 | Train Loss: 0.12535375 | Test Loss: 0.09298222 | Train Error: 3.22798756 | Test Error: 2.75053088 | Train Error_abs: 3.24620207 | Test Error_abs: 2.90155696
Epoch 33 | Train Loss: 0.12523209 | Test Loss: 0.09299827 | Train Error: 3.22628620 | Test Error: 2.75061600 | Train Error_abs: 3.24441126 | Test Error_abs: 2.90168872
Epoch 34 | Train Loss: 0.12526685 | Test Loss: 0.09300601 | Train Error: 3.22787418 | Test Error: 2.75070697 | Train Error_abs: 3.24587112 | Test Error_abs: 2.90180259
Epoch 35 | Train Loss: 0.12507714 | Test Loss: 0.09301837 | Train Error: 3.22456247 | Test Error: 2.75067187 | Train Error_abs: 3.24278672 | Test Error_abs: 2.90180847
Epoch 36 | Train Loss: 0.12518839 | Test Loss: 0.09305672 | Train Error: 3.22227198 | Test Error: 2.75095773 | Train Error_abs: 3.24028050 | Test Error_abs: 2.90212352
Epoch 37 | Train Loss: 0.12513411 | Test Loss: 0.09316288 | Train Error: 3.22417363 | Test Error: 2.75127796 | Train Error_abs: 3.24226048 | Test Error_abs: 2.90259558
Epoch 38 | Train Loss: 0.12522531 | Test Loss: 0.09331967 | Train Error: 3.22210198 | Test Error: 2.75179868 | Train Error_abs: 3.24026219 | Test Error_abs: 2.90311975
Epoch 39 | Train Loss: 0.12502394 | Test Loss: 0.09337242 | Train Error: 3.21838672 | Test Error: 2.75187771 | Train Error_abs: 3.23645190 | Test Error_abs: 2.90305370
Epoch 40 | Train Loss: 0.12503465 | Test Loss: 0.09333641 | Train Error: 3.22014928 | Test Error: 2.75160274 | Train Error_abs: 3.23815766 | Test Error_abs: 2.90263086
Epoch 41 | Train Loss: 0.12500468 | Test Loss: 0.09335124 | Train Error: 3.21990321 | Test Error: 2.75226567 | Train Error_abs: 3.23779642 | Test Error_abs: 2.90301898
Epoch 42 | Train Loss: 0.12503212 | Test Loss: 0.09331775 | Train Error: 3.21708395 | Test Error: 2.75251496 | Train Error_abs: 3.23506307 | Test Error_abs: 2.90321770
Epoch 43 | Train Loss: 0.12507855 | Test Loss: 0.09334621 | Train Error: 3.21875343 | Test Error: 2.75289723 | Train Error_abs: 3.23686448 | Test Error_abs: 2.90349815
Epoch 44 | Train Loss: 0.12504496 | Test Loss: 0.09339250 | Train Error: 3.21948429 | Test Error: 2.75314808 | Train Error_abs: 3.23764241 | Test Error_abs: 2.90364617
Epoch 45 | Train Loss: 0.12497463 | Test Loss: 0.09339712 | Train Error: 3.21927784 | Test Error: 2.75326085 | Train Error_abs: 3.23714650 | Test Error_abs: 2.90371587
Epoch 46 | Train Loss: 0.12493709 | Test Loss: 0.09340220 | Train Error: 3.21761001 | Test Error: 2.75270922 | Train Error_abs: 3.23564777 | Test Error_abs: 2.90328672
Epoch 47 | Train Loss: 0.12493672 | Test Loss: 0.09343660 | Train Error: 3.21625573 | Test Error: 2.75371178 | Train Error_abs: 3.23437179 | Test Error_abs: 2.90401835
Epoch 48 | Train Loss: 0.12508972 | Test Loss: 0.09340192 | Train Error: 3.21771772 | Test Error: 2.75318869 | Train Error_abs: 3.23577671 | Test Error_abs: 2.90363527
Epoch 49 | Train Loss: 0.12510375 | Test Loss: 0.09333731 | Train Error: 3.21937799 | Test Error: 2.75298071 | Train Error_abs: 3.23724271 | Test Error_abs: 2.90350754
Epoch 50 | Train Loss: 0.12485295 | Test Loss: 0.09340736 | Train Error: 3.21667142 | Test Error: 2.75349375 | Train Error_abs: 3.23470074 | Test Error_abs: 2.90388240
Epoch 51 | Train Loss: 0.12489119 | Test Loss: 0.09337789 | Train Error: 3.21811685 | Test Error: 2.75290727 | Train Error_abs: 3.23613367 | Test Error_abs: 2.90341293
Epoch 52 | Train Loss: 0.12497205 | Test Loss: 0.09339957 | Train Error: 3.22080325 | Test Error: 2.75255059 | Train Error_abs: 3.23889687 | Test Error_abs: 2.90313005
Epoch 53 | Train Loss: 0.12505066 | Test Loss: 0.09339578 | Train Error: 3.21885350 | Test Error: 2.75314659 | Train Error_abs: 3.23695334 | Test Error_abs: 2.90355778
Epoch 54 | Train Loss: 0.12486799 | Test Loss: 0.09338210 | Train Error: 3.21903094 | Test Error: 2.75317513 | Train Error_abs: 3.23723486 | Test Error_abs: 2.90365853
Epoch 55 | Train Loss: 0.12507799 | Test Loss: 0.09334942 | Train Error: 3.22046334 | Test Error: 2.75317272 | Train Error_abs: 3.23826616 | Test Error_abs: 2.90360971
Epoch 56 | Train Loss: 0.12500577 | Test Loss: 0.09334493 | Train Error: 3.21963951 | Test Error: 2.75299830 | Train Error_abs: 3.23770120 | Test Error_abs: 2.90353211
Epoch 57 | Train Loss: 0.12499423 | Test Loss: 0.09338260 | Train Error: 3.21868278 | Test Error: 2.75301562 | Train Error_abs: 3.23671426 | Test Error_abs: 2.90347052
Epoch 58 | Train Loss: 0.12512164 | Test Loss: 0.09338702 | Train Error: 3.21941717 | Test Error: 2.75348671 | Train Error_abs: 3.23739171 | Test Error_abs: 2.90382197
Epoch 59 | Train Loss: 0.12509573 | Test Loss: 0.09340324 | Train Error: 3.21834077 | Test Error: 2.75326638 | Train Error_abs: 3.23621958 | Test Error_abs: 2.90363856
Epoch 60 | Train Loss: 0.12499721 | Test Loss: 0.09333245 | Train Error: 3.21768904 | Test Error: 2.75263744 | Train Error_abs: 3.23560722 | Test Error_abs: 2.90318618
Epoch 61 | Train Loss: 0.12493499 | Test Loss: 0.09336872 | Train Error: 3.21756279 | Test Error: 2.75287379 | Train Error_abs: 3.23549410 | Test Error_abs: 2.90334077
Epoch 62 | Train Loss: 0.12493200 | Test Loss: 0.09338062 | Train Error: 3.21553004 | Test Error: 2.75386799 | Train Error_abs: 3.23345540 | Test Error_abs: 2.90405454
Epoch 63 | Train Loss: 0.12510651 | Test Loss: 0.09339826 | Train Error: 3.21769441 | Test Error: 2.75323162 | Train Error_abs: 3.23572990 | Test Error_abs: 2.90351065
Epoch 64 | Train Loss: 0.12493056 | Test Loss: 0.09335575 | Train Error: 3.21841440 | Test Error: 2.75256890 | Train Error_abs: 3.23631131 | Test Error_abs: 2.90305072
Epoch 65 | Train Loss: 0.12505957 | Test Loss: 0.09333698 | Train Error: 3.21927399 | Test Error: 2.75292034 | Train Error_abs: 3.23723221 | Test Error_abs: 2.90333277
Epoch 66 | Train Loss: 0.12506330 | Test Loss: 0.09334016 | Train Error: 3.21721926 | Test Error: 2.75260949 | Train Error_abs: 3.23514501 | Test Error_abs: 2.90315079
Epoch 67 | Train Loss: 0.12494253 | Test Loss: 0.09331262 | Train Error: 3.21699942 | Test Error: 2.75239828 | Train Error_abs: 3.23492810 | Test Error_abs: 2.90290188
Epoch 68 | Train Loss: 0.12503746 | Test Loss: 0.09338789 | Train Error: 3.21810489 | Test Error: 2.75400328 | Train Error_abs: 3.23597004 | Test Error_abs: 2.90405029
Epoch 69 | Train Loss: 0.12511152 | Test Loss: 0.09334607 | Train Error: 3.21914351 | Test Error: 2.75282452 | Train Error_abs: 3.23704537 | Test Error_abs: 2.90325138
Epoch 70 | Train Loss: 0.12495517 | Test Loss: 0.09335416 | Train Error: 3.21690599 | Test Error: 2.75220415 | Train Error_abs: 3.23478968 | Test Error_abs: 2.90272045
Epoch 71 | Train Loss: 0.12496831 | Test Loss: 0.09334790 | Train Error: 3.21581821 | Test Error: 2.75229917 | Train Error_abs: 3.23370292 | Test Error_abs: 2.90280517
Epoch 72 | Train Loss: 0.12495657 | Test Loss: 0.09333413 | Train Error: 3.21975618 | Test Error: 2.75233131 | Train Error_abs: 3.23756244 | Test Error_abs: 2.90289837
Epoch 73 | Train Loss: 0.12498913 | Test Loss: 0.09335072 | Train Error: 3.21765820 | Test Error: 2.75309004 | Train Error_abs: 3.23546641 | Test Error_abs: 2.90339356
Epoch 74 | Train Loss: 0.12514853 | Test Loss: 0.09338023 | Train Error: 3.22019446 | Test Error: 2.75286782 | Train Error_abs: 3.23799850 | Test Error_abs: 2.90312975
Epoch 75 | Train Loss: 0.12505742 | Test Loss: 0.09333832 | Train Error: 3.21862463 | Test Error: 2.75300425 | Train Error_abs: 3.23667815 | Test Error_abs: 2.90333659
Epoch 76 | Train Loss: 0.12509030 | Test Loss: 0.09337236 | Train Error: 3.22033477 | Test Error: 2.75337787 | Train Error_abs: 3.23840237 | Test Error_abs: 2.90357981
Epoch 77 | Train Loss: 0.12488634 | Test Loss: 0.09337603 | Train Error: 3.21539784 | Test Error: 2.75310331 | Train Error_abs: 3.23335400 | Test Error_abs: 2.90340710
Epoch 78 | Train Loss: 0.12504424 | Test Loss: 0.09337578 | Train Error: 3.21937459 | Test Error: 2.75283789 | Train Error_abs: 3.23727320 | Test Error_abs: 2.90317767
