Epoch 1 | Train Loss: 0.22202899 | Test Loss: 0.21433633 | Train Error: -3.69646408 | Test Error: -0.88912980 | Train Error_abs: 6.41250578 | Test Error_abs: 3.12119061
Epoch 2 | Train Loss: 0.21105245 | Test Loss: 0.20359509 | Train Error: -3.01928960 | Test Error: -0.79022898 | Train Error_abs: 6.72739352 | Test Error_abs: 4.12539624
Epoch 3 | Train Loss: 0.20210897 | Test Loss: 0.19382543 | Train Error: -2.56879757 | Test Error: -0.60446835 | Train Error_abs: 7.82899190 | Test Error_abs: 4.42156284
Epoch 4 | Train Loss: 0.19398063 | Test Loss: 0.18538873 | Train Error: -1.50670955 | Test Error: -0.51169861 | Train Error_abs: 7.07586394 | Test Error_abs: 4.74815661
Epoch 5 | Train Loss: 0.18623901 | Test Loss: 0.17597975 | Train Error: -1.34200115 | Test Error: -0.46991406 | Train Error_abs: 6.26566184 | Test Error_abs: 5.10521004
Epoch 6 | Train Loss: 0.17719894 | Test Loss: 0.16437325 | Train Error: -2.48606069 | Test Error: -0.46838711 | Train Error_abs: 8.26252230 | Test Error_abs: 5.78974465
Epoch 7 | Train Loss: 0.16716427 | Test Loss: 0.15305303 | Train Error: -3.46871683 | Test Error: -0.46085768 | Train Error_abs: 9.52139447 | Test Error_abs: 6.67054203
Epoch 8 | Train Loss: 0.15796573 | Test Loss: 0.14505726 | Train Error: -1.40751538 | Test Error: -0.49400992 | Train Error_abs: 10.22313747 | Test Error_abs: 7.14581429
Epoch 9 | Train Loss: 0.15082859 | Test Loss: 0.13920105 | Train Error: -1.26760434 | Test Error: -0.51704665 | Train Error_abs: 12.91179648 | Test Error_abs: 7.50352180
Epoch 10 | Train Loss: 0.14587017 | Test Loss: 0.13546854 | Train Error: -1.99910067 | Test Error: -0.54454551 | Train Error_abs: 10.66729242 | Test Error_abs: 7.65229866
Epoch 11 | Train Loss: 0.14217075 | Test Loss: 0.13280832 | Train Error: -1.83204997 | Test Error: -0.57661972 | Train Error_abs: 11.29533300 | Test Error_abs: 7.80132066
Epoch 12 | Train Loss: 0.13964225 | Test Loss: 0.13070677 | Train Error: -0.30251812 | Test Error: -0.59298077 | Train Error_abs: 12.44936836 | Test Error_abs: 7.94896177
Epoch 13 | Train Loss: 0.13767420 | Test Loss: 0.12883388 | Train Error: 0.47991535 | Test Error: -0.63095928 | Train Error_abs: 12.17627143 | Test Error_abs: 8.07214790
Epoch 14 | Train Loss: 0.13573062 | Test Loss: 0.12731356 | Train Error: -2.63249883 | Test Error: -0.62375048 | Train Error_abs: 12.62037609 | Test Error_abs: 8.16975652
Epoch 15 | Train Loss: 0.13413223 | Test Loss: 0.12555962 | Train Error: -2.91919578 | Test Error: -0.62862686 | Train Error_abs: 14.17535877 | Test Error_abs: 8.23852463
Epoch 16 | Train Loss: 0.13226678 | Test Loss: 0.12384494 | Train Error: 0.20588421 | Test Error: -0.63381982 | Train Error_abs: 12.99836910 | Test Error_abs: 8.31363881
Epoch 17 | Train Loss: 0.13086111 | Test Loss: 0.12206693 | Train Error: -0.39688492 | Test Error: -0.62900963 | Train Error_abs: 14.56173889 | Test Error_abs: 8.33969772
Epoch 18 | Train Loss: 0.12908332 | Test Loss: 0.12040282 | Train Error: -1.72587576 | Test Error: -0.62037559 | Train Error_abs: 12.57978221 | Test Error_abs: 8.36255372
Epoch 19 | Train Loss: 0.12748808 | Test Loss: 0.11838940 | Train Error: -3.17325503 | Test Error: -0.62689616 | Train Error_abs: 14.46785656 | Test Error_abs: 8.40695828
Epoch 20 | Train Loss: 0.12591584 | Test Loss: 0.11685650 | Train Error: 0.34074863 | Test Error: -0.61568725 | Train Error_abs: 12.43417723 | Test Error_abs: 8.31337149
Epoch 21 | Train Loss: 0.12421796 | Test Loss: 0.11507706 | Train Error: -0.03435823 | Test Error: -0.59349180 | Train Error_abs: 13.28939459 | Test Error_abs: 8.33077507
Epoch 22 | Train Loss: 0.12264965 | Test Loss: 0.11307412 | Train Error: 0.05634349 | Test Error: -0.60325760 | Train Error_abs: 11.50322661 | Test Error_abs: 8.30534487
Epoch 23 | Train Loss: 0.12095060 | Test Loss: 0.11138664 | Train Error: -1.61734120 | Test Error: -0.56864519 | Train Error_abs: 12.57561975 | Test Error_abs: 8.21319308
Epoch 24 | Train Loss: 0.11917777 | Test Loss: 0.10934778 | Train Error: 0.00977144 | Test Error: -0.60241695 | Train Error_abs: 11.19135001 | Test Error_abs: 8.18118953
Epoch 25 | Train Loss: 0.11746042 | Test Loss: 0.10737524 | Train Error: 1.14532802 | Test Error: -0.58422742 | Train Error_abs: 11.22487122 | Test Error_abs: 8.09945155
Epoch 26 | Train Loss: 0.11575983 | Test Loss: 0.10550985 | Train Error: 0.58623117 | Test Error: -0.56762379 | Train Error_abs: 12.58775134 | Test Error_abs: 8.03558390
Epoch 27 | Train Loss: 0.11392845 | Test Loss: 0.10345550 | Train Error: -0.45557216 | Test Error: -0.56018883 | Train Error_abs: 11.00719622 | Test Error_abs: 7.94205647
Epoch 28 | Train Loss: 0.11216511 | Test Loss: 0.10137603 | Train Error: 0.53537099 | Test Error: -0.53884190 | Train Error_abs: 11.47702220 | Test Error_abs: 7.93904373
Epoch 29 | Train Loss: 0.11028525 | Test Loss: 0.09921501 | Train Error: 1.14236996 | Test Error: -0.53279445 | Train Error_abs: 10.65503042 | Test Error_abs: 7.93442346
Epoch 30 | Train Loss: 0.10845359 | Test Loss: 0.09732193 | Train Error: 1.80881123 | Test Error: -0.50812545 | Train Error_abs: 11.92266552 | Test Error_abs: 7.82640613
Epoch 31 | Train Loss: 0.10682764 | Test Loss: 0.09518431 | Train Error: 1.44652472 | Test Error: -0.48761326 | Train Error_abs: 10.83361529 | Test Error_abs: 7.89113406
Epoch 32 | Train Loss: 0.10493754 | Test Loss: 0.09328947 | Train Error: 0.18056099 | Test Error: -0.46567063 | Train Error_abs: 10.58784442 | Test Error_abs: 7.80673386
Epoch 33 | Train Loss: 0.10328247 | Test Loss: 0.09133040 | Train Error: 1.88502880 | Test Error: -0.43345178 | Train Error_abs: 11.55746471 | Test Error_abs: 7.85798433
Epoch 34 | Train Loss: 0.10144688 | Test Loss: 0.08947018 | Train Error: 2.58547593 | Test Error: -0.41379588 | Train Error_abs: 12.09009562 | Test Error_abs: 7.86918497
Epoch 35 | Train Loss: 0.09994131 | Test Loss: 0.08761169 | Train Error: -0.38057446 | Test Error: -0.38646817 | Train Error_abs: 12.51387741 | Test Error_abs: 7.93084931
Epoch 36 | Train Loss: 0.09828732 | Test Loss: 0.08588101 | Train Error: -0.34195931 | Test Error: -0.36073224 | Train Error_abs: 9.67135741 | Test Error_abs: 7.94278493
Epoch 37 | Train Loss: 0.09658822 | Test Loss: 0.08414957 | Train Error: 0.47940475 | Test Error: -0.33831318 | Train Error_abs: 10.33212435 | Test Error_abs: 7.98637546
Epoch 38 | Train Loss: 0.09502461 | Test Loss: 0.08254794 | Train Error: 0.67319256 | Test Error: -0.29824454 | Train Error_abs: 9.94559252 | Test Error_abs: 7.99316796
Epoch 39 | Train Loss: 0.09351042 | Test Loss: 0.08102631 | Train Error: 1.62663370 | Test Error: -0.29534443 | Train Error_abs: 11.01889510 | Test Error_abs: 8.02070386
Epoch 40 | Train Loss: 0.09202616 | Test Loss: 0.07936935 | Train Error: 0.85125853 | Test Error: -0.27791636 | Train Error_abs: 10.79249201 | Test Error_abs: 8.07635827
Epoch 41 | Train Loss: 0.09053574 | Test Loss: 0.07792153 | Train Error: 0.23116834 | Test Error: -0.24657125 | Train Error_abs: 10.76656874 | Test Error_abs: 8.11300373
Epoch 42 | Train Loss: 0.08900628 | Test Loss: 0.07646093 | Train Error: 0.91103970 | Test Error: -0.23297706 | Train Error_abs: 10.42207139 | Test Error_abs: 8.17478577
Epoch 43 | Train Loss: 0.08767686 | Test Loss: 0.07493492 | Train Error: -0.05973181 | Test Error: -0.22274943 | Train Error_abs: 9.88370024 | Test Error_abs: 8.21268913
Epoch 44 | Train Loss: 0.08610775 | Test Loss: 0.07342342 | Train Error: 0.59076574 | Test Error: -0.16808946 | Train Error_abs: 10.13686468 | Test Error_abs: 8.24008448
Epoch 45 | Train Loss: 0.08473004 | Test Loss: 0.07211216 | Train Error: 0.90777503 | Test Error: -0.15101659 | Train Error_abs: 10.31260178 | Test Error_abs: 8.27796773
Epoch 46 | Train Loss: 0.08341866 | Test Loss: 0.07064037 | Train Error: 0.86654184 | Test Error: -0.12953619 | Train Error_abs: 11.16784096 | Test Error_abs: 8.26137547
Epoch 47 | Train Loss: 0.08184232 | Test Loss: 0.06926804 | Train Error: 0.97018319 | Test Error: -0.09022381 | Train Error_abs: 10.53315439 | Test Error_abs: 8.33822145
Epoch 48 | Train Loss: 0.08057595 | Test Loss: 0.06784751 | Train Error: 1.62490714 | Test Error: -0.10194991 | Train Error_abs: 11.03158044 | Test Error_abs: 8.42606082
Epoch 49 | Train Loss: 0.07924290 | Test Loss: 0.06661232 | Train Error: -0.88045962 | Test Error: -0.06515307 | Train Error_abs: 10.66346465 | Test Error_abs: 8.36015513
Epoch 50 | Train Loss: 0.07774171 | Test Loss: 0.06525692 | Train Error: 1.57900011 | Test Error: -0.08068941 | Train Error_abs: 12.20121190 | Test Error_abs: 8.39859273
Epoch 51 | Train Loss: 0.07650765 | Test Loss: 0.06386966 | Train Error: 0.75920990 | Test Error: -0.05303956 | Train Error_abs: 11.50373846 | Test Error_abs: 8.40467662
Epoch 52 | Train Loss: 0.07522660 | Test Loss: 0.06252550 | Train Error: 2.03611792 | Test Error: -0.08746325 | Train Error_abs: 11.40653593 | Test Error_abs: 8.42590299
Epoch 53 | Train Loss: 0.07396268 | Test Loss: 0.06128140 | Train Error: 0.75681010 | Test Error: -0.05819956 | Train Error_abs: 10.13196336 | Test Error_abs: 8.39672219
Epoch 54 | Train Loss: 0.07265688 | Test Loss: 0.06002890 | Train Error: -1.17147907 | Test Error: -0.06397952 | Train Error_abs: 11.21212909 | Test Error_abs: 8.39571494
Epoch 55 | Train Loss: 0.07135330 | Test Loss: 0.05885137 | Train Error: 2.59919513 | Test Error: -0.03354466 | Train Error_abs: 13.19106275 | Test Error_abs: 8.33731678
Epoch 56 | Train Loss: 0.07008749 | Test Loss: 0.05766793 | Train Error: 2.73521651 | Test Error: -0.04480702 | Train Error_abs: 13.94152048 | Test Error_abs: 8.34231531
Epoch 57 | Train Loss: 0.06894656 | Test Loss: 0.05640154 | Train Error: -0.00947117 | Test Error: -0.05201078 | Train Error_abs: 10.79774300 | Test Error_abs: 8.32613888
Epoch 58 | Train Loss: 0.06779455 | Test Loss: 0.05529735 | Train Error: -0.36721670 | Test Error: -0.05878421 | Train Error_abs: 11.61027216 | Test Error_abs: 8.28937362
Epoch 59 | Train Loss: 0.06641592 | Test Loss: 0.05417865 | Train Error: 0.30042817 | Test Error: -0.05358215 | Train Error_abs: 11.89456107 | Test Error_abs: 8.26378725
Epoch 60 | Train Loss: 0.06531833 | Test Loss: 0.05313532 | Train Error: 0.71179373 | Test Error: -0.04974867 | Train Error_abs: 11.57936095 | Test Error_abs: 8.23933858
Epoch 61 | Train Loss: 0.06421914 | Test Loss: 0.05210546 | Train Error: 0.44893138 | Test Error: -0.06062375 | Train Error_abs: 12.36060721 | Test Error_abs: 8.21064123
Epoch 62 | Train Loss: 0.06325790 | Test Loss: 0.05105610 | Train Error: 0.75350604 | Test Error: -0.09037394 | Train Error_abs: 12.02026499 | Test Error_abs: 8.21526819
Epoch 63 | Train Loss: 0.06211767 | Test Loss: 0.05024854 | Train Error: -1.77941936 | Test Error: -0.06841000 | Train Error_abs: 11.22358780 | Test Error_abs: 8.13275130
Epoch 64 | Train Loss: 0.06117439 | Test Loss: 0.04938274 | Train Error: -1.56700642 | Test Error: -0.09325032 | Train Error_abs: 11.66185141 | Test Error_abs: 8.06523501
Epoch 65 | Train Loss: 0.06038252 | Test Loss: 0.04852622 | Train Error: -2.05208604 | Test Error: -0.10445695 | Train Error_abs: 11.94097747 | Test Error_abs: 8.02857292
Epoch 66 | Train Loss: 0.05926559 | Test Loss: 0.04773526 | Train Error: 2.23643653 | Test Error: -0.08690193 | Train Error_abs: 11.66933199 | Test Error_abs: 8.04195815
Epoch 67 | Train Loss: 0.05845494 | Test Loss: 0.04696810 | Train Error: 0.46694575 | Test Error: -0.12069090 | Train Error_abs: 11.83805274 | Test Error_abs: 8.03494732
Epoch 68 | Train Loss: 0.05766516 | Test Loss: 0.04632423 | Train Error: 0.44261983 | Test Error: -0.10743834 | Train Error_abs: 11.44461953 | Test Error_abs: 7.98679207
Epoch 69 | Train Loss: 0.05697543 | Test Loss: 0.04569108 | Train Error: -0.78062478 | Test Error: -0.14422329 | Train Error_abs: 10.38744117 | Test Error_abs: 7.92280376
Epoch 70 | Train Loss: 0.05615360 | Test Loss: 0.04509408 | Train Error: 0.26332767 | Test Error: -0.14553310 | Train Error_abs: 11.34278868 | Test Error_abs: 7.89242603
Epoch 71 | Train Loss: 0.05546835 | Test Loss: 0.04452183 | Train Error: -1.18723223 | Test Error: -0.15836565 | Train Error_abs: 12.09700980 | Test Error_abs: 7.81655906
Epoch 72 | Train Loss: 0.05478419 | Test Loss: 0.04406579 | Train Error: -0.13583917 | Test Error: -0.17659404 | Train Error_abs: 10.83994223 | Test Error_abs: 7.78625275
Epoch 73 | Train Loss: 0.05411772 | Test Loss: 0.04347175 | Train Error: 0.70927085 | Test Error: -0.19945822 | Train Error_abs: 11.57416763 | Test Error_abs: 7.73659480
Epoch 74 | Train Loss: 0.05356079 | Test Loss: 0.04311592 | Train Error: 1.40348514 | Test Error: -0.19268487 | Train Error_abs: 11.58102242 | Test Error_abs: 7.65295154
Epoch 75 | Train Loss: 0.05293676 | Test Loss: 0.04259414 | Train Error: -1.27682173 | Test Error: -0.20503565 | Train Error_abs: 10.59288138 | Test Error_abs: 7.69130080
Epoch 76 | Train Loss: 0.05238041 | Test Loss: 0.04216073 | Train Error: -0.85785958 | Test Error: -0.23633955 | Train Error_abs: 9.69870985 | Test Error_abs: 7.61971016
Epoch 77 | Train Loss: 0.05179983 | Test Loss: 0.04174555 | Train Error: 0.91797422 | Test Error: -0.23266277 | Train Error_abs: 10.24521245 | Test Error_abs: 7.55244968
Epoch 78 | Train Loss: 0.05113758 | Test Loss: 0.04129505 | Train Error: -0.73868568 | Test Error: -0.24951977 | Train Error_abs: 10.46272715 | Test Error_abs: 7.49288556
Epoch 79 | Train Loss: 0.05073248 | Test Loss: 0.04086340 | Train Error: 0.32856861 | Test Error: -0.26642491 | Train Error_abs: 9.86203246 | Test Error_abs: 7.42816604
Epoch 80 | Train Loss: 0.05023381 | Test Loss: 0.04045677 | Train Error: -0.15910090 | Test Error: -0.25953260 | Train Error_abs: 10.40476664 | Test Error_abs: 7.38395765
Epoch 81 | Train Loss: 0.04970470 | Test Loss: 0.04017082 | Train Error: -0.18777803 | Test Error: -0.27560695 | Train Error_abs: 9.14162817 | Test Error_abs: 7.27607108
Epoch 82 | Train Loss: 0.04916989 | Test Loss: 0.03968015 | Train Error: 1.11117369 | Test Error: -0.26336713 | Train Error_abs: 10.80519708 | Test Error_abs: 7.30645003
Epoch 83 | Train Loss: 0.04873151 | Test Loss: 0.03941909 | Train Error: -0.33188711 | Test Error: -0.28729188 | Train Error_abs: 9.05060136 | Test Error_abs: 7.21407144
Epoch 84 | Train Loss: 0.04828546 | Test Loss: 0.03905111 | Train Error: -1.73741169 | Test Error: -0.30577860 | Train Error_abs: 10.03246440 | Test Error_abs: 7.17224455
Epoch 85 | Train Loss: 0.04787721 | Test Loss: 0.03865217 | Train Error: -1.09544473 | Test Error: -0.31065841 | Train Error_abs: 9.36231930 | Test Error_abs: 7.11717820
