Epoch 1 | Train Loss: 0.75042401 | Test Loss: 0.12063792 | Train Error: 2.32947215 | Test Error: 2.76529381 | Train Error_abs: 2.56819464 | Test Error_abs: 2.82740082
Epoch 2 | Train Loss: 0.14198990 | Test Loss: 0.11158578 | Train Error: 3.05800622 | Test Error: 2.86736375 | Train Error_abs: 3.11854537 | Test Error_abs: 2.92873793
Epoch 3 | Train Loss: 0.12726312 | Test Loss: 0.10139580 | Train Error: 3.03205788 | Test Error: 2.76992483 | Train Error_abs: 3.09945816 | Test Error_abs: 2.83598945
Epoch 4 | Train Loss: 0.09553888 | Test Loss: 0.06971985 | Train Error: 2.27121733 | Test Error: 1.67806874 | Train Error_abs: 2.37472474 | Test Error_abs: 1.82713522
Epoch 5 | Train Loss: 0.07496327 | Test Loss: 0.06491502 | Train Error: 1.88422901 | Test Error: 1.62859072 | Train Error_abs: 2.00514912 | Test Error_abs: 1.77971042
Epoch 6 | Train Loss: 0.07015573 | Test Loss: 0.06108066 | Train Error: 1.83674963 | Test Error: 1.62803835 | Train Error_abs: 1.95986526 | Test Error_abs: 1.76677845
Epoch 7 | Train Loss: 0.06483981 | Test Loss: 0.05685238 | Train Error: 1.73948350 | Test Error: 1.47638229 | Train Error_abs: 1.86777164 | Test Error_abs: 1.63179850
Epoch 8 | Train Loss: 0.05867681 | Test Loss: 0.05402400 | Train Error: 1.53150351 | Test Error: 1.30491593 | Train Error_abs: 1.66519829 | Test Error_abs: 1.47151974
Epoch 9 | Train Loss: 0.05397557 | Test Loss: 0.04905198 | Train Error: 1.38381185 | Test Error: 1.25413049 | Train Error_abs: 1.52407965 | Test Error_abs: 1.40428603
Epoch 10 | Train Loss: 0.05142724 | Test Loss: 0.04717718 | Train Error: 1.33612772 | Test Error: 1.20585853 | Train Error_abs: 1.47360829 | Test Error_abs: 1.36234031
Epoch 11 | Train Loss: 0.04931476 | Test Loss: 0.04608793 | Train Error: 1.30451739 | Test Error: 1.14534855 | Train Error_abs: 1.44006840 | Test Error_abs: 1.30199718
Epoch 12 | Train Loss: 0.04716577 | Test Loss: 0.04364642 | Train Error: 1.26883455 | Test Error: 1.11934413 | Train Error_abs: 1.40254925 | Test Error_abs: 1.26718491
Epoch 13 | Train Loss: 0.04536356 | Test Loss: 0.04181108 | Train Error: 1.23900053 | Test Error: 1.10173181 | Train Error_abs: 1.37107366 | Test Error_abs: 1.24554125
Epoch 14 | Train Loss: 0.04353077 | Test Loss: 0.04052708 | Train Error: 1.20592355 | Test Error: 1.04554852 | Train Error_abs: 1.33803056 | Test Error_abs: 1.19826932
Epoch 15 | Train Loss: 0.04189341 | Test Loss: 0.03889336 | Train Error: 1.18727285 | Test Error: 1.05650986 | Train Error_abs: 1.31972159 | Test Error_abs: 1.19868115
