Epoch 1 | Train Loss: 1.77669977 | Test Loss: 1.10561709 | Train Error: 212279.18525840 | Test Error: 180578.94370966 | Train Error_abs: 212279.70371158 | Test Error_abs: 180579.54595859
Epoch 2 | Train Loss: 0.87651102 | Test Loss: 0.82509162 | Train Error: 234792.05418342 | Test Error: 124458.37265539 | Train Error_abs: 234792.39020738 | Test Error_abs: 124459.17057820
Epoch 3 | Train Loss: 0.65409655 | Test Loss: 0.70213262 | Train Error: 223792.72203237 | Test Error: 98551.89673264 | Train Error_abs: 223793.03524345 | Test Error_abs: 98552.75430826
Epoch 4 | Train Loss: 0.53037086 | Test Loss: 0.58654268 | Train Error: 199795.50292370 | Test Error: 73333.88730980 | Train Error_abs: 199795.77847122 | Test Error_abs: 73334.71840822
Epoch 5 | Train Loss: 0.43951518 | Test Loss: 0.48265294 | Train Error: 150504.19406934 | Test Error: 56381.28228341 | Train Error_abs: 150504.43032596 | Test Error_abs: 56381.99718277
Epoch 6 | Train Loss: 0.38276696 | Test Loss: 0.39468733 | Train Error: 119769.16476979 | Test Error: 56790.16438468 | Train Error_abs: 119769.39120368 | Test Error_abs: 56790.73334736
Epoch 7 | Train Loss: 0.34311148 | Test Loss: 0.35618273 | Train Error: 106429.04229019 | Test Error: 53894.26270806 | Train Error_abs: 106429.26843392 | Test Error_abs: 53894.81485787
Epoch 8 | Train Loss: 0.31144554 | Test Loss: 0.34110647 | Train Error: 99425.92085795 | Test Error: 50034.97868003 | Train Error_abs: 99426.14610862 | Test Error_abs: 50035.58626256
Epoch 9 | Train Loss: 0.28415079 | Test Loss: 0.29028901 | Train Error: 94479.57736023 | Test Error: 53557.30922572 | Train Error_abs: 94479.80313228 | Test Error_abs: 53557.80230600
Epoch 10 | Train Loss: 0.25965412 | Test Loss: 0.26070823 | Train Error: 91251.70142182 | Test Error: 53536.25875599 | Train Error_abs: 91251.92651827 | Test Error_abs: 53536.71461061
Epoch 11 | Train Loss: 0.23826888 | Test Loss: 0.22934114 | Train Error: 88944.19114416 | Test Error: 58540.92682301 | Train Error_abs: 88944.41625371 | Test Error_abs: 58541.29828938
Epoch 12 | Train Loss: 0.22051866 | Test Loss: 0.21871500 | Train Error: 87318.64943331 | Test Error: 55133.90944070 | Train Error_abs: 87318.87389501 | Test Error_abs: 55134.31684169
Epoch 13 | Train Loss: 0.20614825 | Test Loss: 0.19983105 | Train Error: 86003.76336356 | Test Error: 56439.21730681 | Train Error_abs: 86003.98757083 | Test Error_abs: 56439.57896878
Epoch 14 | Train Loss: 0.19451339 | Test Loss: 0.18708192 | Train Error: 85136.83870508 | Test Error: 57028.46314898 | Train Error_abs: 85137.06276974 | Test Error_abs: 57028.80564483
Epoch 15 | Train Loss: 0.18468502 | Test Loss: 0.17732195 | Train Error: 84485.85548859 | Test Error: 59766.68297791 | Train Error_abs: 84486.07984490 | Test Error_abs: 59767.01482098
Epoch 16 | Train Loss: 0.17595253 | Test Loss: 0.17043904 | Train Error: 83885.25439164 | Test Error: 57645.56961857 | Train Error_abs: 83885.47689927 | Test Error_abs: 57645.90883150
Epoch 17 | Train Loss: 0.16881905 | Test Loss: 0.16491427 | Train Error: 83617.36709792 | Test Error: 57675.00504945 | Train Error_abs: 83617.58898866 | Test Error_abs: 57675.35421431
Epoch 18 | Train Loss: 0.16220414 | Test Loss: 0.15470823 | Train Error: 83158.01118527 | Test Error: 61476.12005199 | Train Error_abs: 83158.23338792 | Test Error_abs: 61476.42657633
Epoch 19 | Train Loss: 0.15617814 | Test Loss: 0.15700550 | Train Error: 82878.30076272 | Test Error: 58160.93523204 | Train Error_abs: 82878.52100652 | Test Error_abs: 58161.31167062
Epoch 20 | Train Loss: 0.15059404 | Test Loss: 0.14199355 | Train Error: 82870.93242330 | Test Error: 64794.64769515 | Train Error_abs: 82871.15256862 | Test Error_abs: 64794.93075261
Epoch 21 | Train Loss: 0.14544873 | Test Loss: 0.13938537 | Train Error: 83039.96241088 | Test Error: 63088.91817768 | Train Error_abs: 83040.18147492 | Test Error_abs: 63089.22602245
Epoch 22 | Train Loss: 0.14071747 | Test Loss: 0.13056269 | Train Error: 83143.75460753 | Test Error: 67727.09374769 | Train Error_abs: 83143.97340463 | Test Error_abs: 67727.34388775
Epoch 23 | Train Loss: 0.13623269 | Test Loss: 0.13086598 | Train Error: 83151.36816766 | Test Error: 64901.37440462 | Train Error_abs: 83151.58614483 | Test Error_abs: 64901.68162982
