Epoch 35 | Train Loss: 0.22067867 | Test Loss: 0.22120491 | Train Error: -1.77026707 | Test Error: -1.07691214 | Train Error_abs: 4.29362538 | Test Error_abs: 2.25437837
Epoch 36 | Train Loss: 0.22004319 | Test Loss: 0.21994864 | Train Error: -0.71828711 | Test Error: -1.08402093 | Train Error_abs: 3.91273251 | Test Error_abs: 2.28858152
Epoch 37 | Train Loss: 0.21926329 | Test Loss: 0.21878322 | Train Error: -0.24628032 | Test Error: -1.09497839 | Train Error_abs: 4.18720871 | Test Error_abs: 2.32586911
Epoch 38 | Train Loss: 0.21877300 | Test Loss: 0.21759279 | Train Error: -0.40242162 | Test Error: -1.10313208 | Train Error_abs: 4.07084497 | Test Error_abs: 2.36039035
Epoch 39 | Train Loss: 0.21833644 | Test Loss: 0.21651091 | Train Error: -0.83793429 | Test Error: -1.10692837 | Train Error_abs: 3.67308615 | Test Error_abs: 2.39662341
Epoch 40 | Train Loss: 0.21763846 | Test Loss: 0.21532871 | Train Error: -0.60031252 | Test Error: -1.10933943 | Train Error_abs: 3.73286449 | Test Error_abs: 2.43593054
Epoch 41 | Train Loss: 0.21696269 | Test Loss: 0.21417222 | Train Error: -0.16212171 | Test Error: -1.11126657 | Train Error_abs: 4.44872854 | Test Error_abs: 2.47557809
Epoch 42 | Train Loss: 0.21627165 | Test Loss: 0.21271360 | Train Error: -0.65992333 | Test Error: -1.11359744 | Train Error_abs: 3.94238974 | Test Error_abs: 2.53277671
Epoch 43 | Train Loss: 0.21553984 | Test Loss: 0.21204996 | Train Error: -0.34413338 | Test Error: -1.11105130 | Train Error_abs: 4.32868380 | Test Error_abs: 2.54986594
Epoch 44 | Train Loss: 0.21506360 | Test Loss: 0.21104104 | Train Error: -0.54712264 | Test Error: -1.10796769 | Train Error_abs: 4.18544937 | Test Error_abs: 2.58639822
Epoch 45 | Train Loss: 0.21430325 | Test Loss: 0.21005117 | Train Error: -0.53733216 | Test Error: -1.10710331 | Train Error_abs: 3.98415436 | Test Error_abs: 2.62222015
