Epoch 35 | Train Loss: 0.08729192 | Test Loss: 0.06970933 | Train Error: 0.13532429 | Test Error: -4.38976812 | Train Error_abs: 8.90698849 | Test Error_abs: 10.41911981
Epoch 36 | Train Loss: 0.08509418 | Test Loss: 0.06746340 | Train Error: -0.35133120 | Test Error: -4.40209022 | Train Error_abs: 8.63771446 | Test Error_abs: 10.40043814
Epoch 37 | Train Loss: 0.08277507 | Test Loss: 0.06571640 | Train Error: 0.14708029 | Test Error: -4.35278255 | Train Error_abs: 8.56656655 | Test Error_abs: 10.30562041
Epoch 38 | Train Loss: 0.08098880 | Test Loss: 0.06420833 | Train Error: 0.54811723 | Test Error: -4.32315503 | Train Error_abs: 8.92962198 | Test Error_abs: 10.25561784
Epoch 39 | Train Loss: 0.07893781 | Test Loss: 0.06245402 | Train Error: 0.03656967 | Test Error: -4.32796116 | Train Error_abs: 9.07385045 | Test Error_abs: 10.20647490
Epoch 40 | Train Loss: 0.07714227 | Test Loss: 0.06093902 | Train Error: 0.61691366 | Test Error: -4.27921191 | Train Error_abs: 8.58473229 | Test Error_abs: 10.09958634
Epoch 41 | Train Loss: 0.07523729 | Test Loss: 0.05938265 | Train Error: 0.25965099 | Test Error: -4.22660111 | Train Error_abs: 8.38491572 | Test Error_abs: 10.01611443
Epoch 42 | Train Loss: 0.07349104 | Test Loss: 0.05822479 | Train Error: 0.08972379 | Test Error: -4.20025213 | Train Error_abs: 8.37518099 | Test Error_abs: 9.90835386
Epoch 43 | Train Loss: 0.07210814 | Test Loss: 0.05683326 | Train Error: -0.46228117 | Test Error: -4.14157018 | Train Error_abs: 8.53109756 | Test Error_abs: 9.80363586
Epoch 44 | Train Loss: 0.07058708 | Test Loss: 0.05558957 | Train Error: -0.39828931 | Test Error: -4.09574838 | Train Error_abs: 8.13463150 | Test Error_abs: 9.72142096
Epoch 45 | Train Loss: 0.06920453 | Test Loss: 0.05431900 | Train Error: 0.57176345 | Test Error: -4.05665514 | Train Error_abs: 8.78715820 | Test Error_abs: 9.61934167
Epoch 46 | Train Loss: 0.06778155 | Test Loss: 0.05347621 | Train Error: -0.01071865 | Test Error: -4.07245405 | Train Error_abs: 8.17696283 | Test Error_abs: 9.67116377
Epoch 47 | Train Loss: 0.06644434 | Test Loss: 0.05224405 | Train Error: 0.45555827 | Test Error: -4.03611598 | Train Error_abs: 8.46473859 | Test Error_abs: 9.57527014
Epoch 48 | Train Loss: 0.06538752 | Test Loss: 0.05153266 | Train Error: 0.05429036 | Test Error: -4.00151674 | Train Error_abs: 8.49908435 | Test Error_abs: 9.55814272
Epoch 49 | Train Loss: 0.06415329 | Test Loss: 0.05061882 | Train Error: 0.13402064 | Test Error: -3.98817158 | Train Error_abs: 8.36355935 | Test Error_abs: 9.51987720
Epoch 50 | Train Loss: 0.06304786 | Test Loss: 0.04988122 | Train Error: 0.62103967 | Test Error: -3.97522307 | Train Error_abs: 8.30305466 | Test Error_abs: 9.51691712
Epoch 51 | Train Loss: 0.06231231 | Test Loss: 0.04918642 | Train Error: -0.29148842 | Test Error: -3.93651507 | Train Error_abs: 8.15078430 | Test Error_abs: 9.46789694
Epoch 52 | Train Loss: 0.06113555 | Test Loss: 0.04839922 | Train Error: -0.18738636 | Test Error: -3.92551305 | Train Error_abs: 8.18993170 | Test Error_abs: 9.41937356
Epoch 53 | Train Loss: 0.06031937 | Test Loss: 0.04748774 | Train Error: -0.08801057 | Test Error: -3.89692854 | Train Error_abs: 8.11347858 | Test Error_abs: 9.34351364
Epoch 54 | Train Loss: 0.05944307 | Test Loss: 0.04691553 | Train Error: 0.08825076 | Test Error: -3.89271464 | Train Error_abs: 8.04214481 | Test Error_abs: 9.33476905
Epoch 55 | Train Loss: 0.05858006 | Test Loss: 0.04653215 | Train Error: 0.18695660 | Test Error: -3.85653422 | Train Error_abs: 8.10373650 | Test Error_abs: 9.32951777
Epoch 56 | Train Loss: 0.05790759 | Test Loss: 0.04588176 | Train Error: -0.05137446 | Test Error: -3.84047368 | Train Error_abs: 8.05602867 | Test Error_abs: 9.24919452
Epoch 57 | Train Loss: 0.05707439 | Test Loss: 0.04537941 | Train Error: 0.35599139 | Test Error: -3.84136753 | Train Error_abs: 8.62865710 | Test Error_abs: 9.25670568
Epoch 58 | Train Loss: 0.05644691 | Test Loss: 0.04474557 | Train Error: -0.04614321 | Test Error: -3.79166486 | Train Error_abs: 8.02303907 | Test Error_abs: 9.15645895
Epoch 59 | Train Loss: 0.05569110 | Test Loss: 0.04445601 | Train Error: -0.21686704 | Test Error: -3.76914040 | Train Error_abs: 8.02677735 | Test Error_abs: 9.15349275
Epoch 60 | Train Loss: 0.05502235 | Test Loss: 0.04396923 | Train Error: 0.03079953 | Test Error: -3.76943372 | Train Error_abs: 7.84637971 | Test Error_abs: 9.13838617
Epoch 61 | Train Loss: 0.05446705 | Test Loss: 0.04336185 | Train Error: -0.12556273 | Test Error: -3.72220963 | Train Error_abs: 7.92495730 | Test Error_abs: 9.07902926
Epoch 62 | Train Loss: 0.05384086 | Test Loss: 0.04284401 | Train Error: 0.27234212 | Test Error: -3.69944312 | Train Error_abs: 7.85230071 | Test Error_abs: 9.01623960
Epoch 63 | Train Loss: 0.05329931 | Test Loss: 0.04259477 | Train Error: 0.49386880 | Test Error: -3.70809928 | Train Error_abs: 8.10267800 | Test Error_abs: 9.04752853
Epoch 64 | Train Loss: 0.05276612 | Test Loss: 0.04223090 | Train Error: -0.10720595 | Test Error: -3.69034761 | Train Error_abs: 7.81265667 | Test Error_abs: 8.99084071
Epoch 65 | Train Loss: 0.05225176 | Test Loss: 0.04150451 | Train Error: -0.14792404 | Test Error: -3.68235687 | Train Error_abs: 8.06124891 | Test Error_abs: 8.93021911
Epoch 66 | Train Loss: 0.05180027 | Test Loss: 0.04156590 | Train Error: -0.17148548 | Test Error: -3.65125613 | Train Error_abs: 8.22802545 | Test Error_abs: 8.92960400
Epoch 67 | Train Loss: 0.05117045 | Test Loss: 0.04089710 | Train Error: -0.07652438 | Test Error: -3.62506971 | Train Error_abs: 8.10102166 | Test Error_abs: 8.85289397
Epoch 68 | Train Loss: 0.05072993 | Test Loss: 0.04053607 | Train Error: 0.07593575 | Test Error: -3.60982806 | Train Error_abs: 8.06600920 | Test Error_abs: 8.81436954
Epoch 69 | Train Loss: 0.05023819 | Test Loss: 0.04028876 | Train Error: -0.54916185 | Test Error: -3.60106060 | Train Error_abs: 8.30072929 | Test Error_abs: 8.79749183
Epoch 70 | Train Loss: 0.04983596 | Test Loss: 0.04002658 | Train Error: -0.18653524 | Test Error: -3.55505404 | Train Error_abs: 8.05532851 | Test Error_abs: 8.74255827
Epoch 71 | Train Loss: 0.04947213 | Test Loss: 0.03971264 | Train Error: 0.23184100 | Test Error: -3.55559791 | Train Error_abs: 7.86237638 | Test Error_abs: 8.73212571
Epoch 72 | Train Loss: 0.04892527 | Test Loss: 0.03925673 | Train Error: 0.29966682 | Test Error: -3.53960062 | Train Error_abs: 8.10836896 | Test Error_abs: 8.64563157
Epoch 73 | Train Loss: 0.04853292 | Test Loss: 0.03903663 | Train Error: 0.18686783 | Test Error: -3.52986445 | Train Error_abs: 7.63646345 | Test Error_abs: 8.63775675
Epoch 74 | Train Loss: 0.04822991 | Test Loss: 0.03886216 | Train Error: -0.13154929 | Test Error: -3.49653205 | Train Error_abs: 8.02289228 | Test Error_abs: 8.56774917
Epoch 75 | Train Loss: 0.04776165 | Test Loss: 0.03860759 | Train Error: 0.13889134 | Test Error: -3.48405784 | Train Error_abs: 7.45880073 | Test Error_abs: 8.53506075
Epoch 76 | Train Loss: 0.04737282 | Test Loss: 0.03815120 | Train Error: 0.00988944 | Test Error: -3.45677637 | Train Error_abs: 7.59855718 | Test Error_abs: 8.49215759
Epoch 77 | Train Loss: 0.04701667 | Test Loss: 0.03786394 | Train Error: 0.20344430 | Test Error: -3.47329747 | Train Error_abs: 7.58492648 | Test Error_abs: 8.51906964
Epoch 78 | Train Loss: 0.04655453 | Test Loss: 0.03754915 | Train Error: 0.04492374 | Test Error: -3.44502054 | Train Error_abs: 7.50059180 | Test Error_abs: 8.44535036
Epoch 79 | Train Loss: 0.04616718 | Test Loss: 0.03732328 | Train Error: -0.35307023 | Test Error: -3.43321065 | Train Error_abs: 7.72321123 | Test Error_abs: 8.40193356
Epoch 80 | Train Loss: 0.04587956 | Test Loss: 0.03696292 | Train Error: -0.06937495 | Test Error: -3.41956817 | Train Error_abs: 7.72178029 | Test Error_abs: 8.34483045
Epoch 81 | Train Loss: 0.04555363 | Test Loss: 0.03665319 | Train Error: -0.28059373 | Test Error: -3.38100788 | Train Error_abs: 7.91735040 | Test Error_abs: 8.31380746
Epoch 82 | Train Loss: 0.04519799 | Test Loss: 0.03652807 | Train Error: 0.61587042 | Test Error: -3.35459990 | Train Error_abs: 8.09686551 | Test Error_abs: 8.25526439
Epoch 83 | Train Loss: 0.04483799 | Test Loss: 0.03628440 | Train Error: -0.01919273 | Test Error: -3.33358253 | Train Error_abs: 7.28520651 | Test Error_abs: 8.22211864
Epoch 84 | Train Loss: 0.04453824 | Test Loss: 0.03587933 | Train Error: 0.07506133 | Test Error: -3.32996464 | Train Error_abs: 7.63147622 | Test Error_abs: 8.17213901
Epoch 85 | Train Loss: 0.04424641 | Test Loss: 0.03564392 | Train Error: -0.04838557 | Test Error: -3.29141095 | Train Error_abs: 7.35496104 | Test Error_abs: 8.13364332
Epoch 86 | Train Loss: 0.04376405 | Test Loss: 0.03530590 | Train Error: -0.10938408 | Test Error: -3.28872658 | Train Error_abs: 7.58971719 | Test Error_abs: 8.09952043
Epoch 87 | Train Loss: 0.04354271 | Test Loss: 0.03518936 | Train Error: 0.28968935 | Test Error: -3.27720188 | Train Error_abs: 7.37246910 | Test Error_abs: 8.06904738
Epoch 88 | Train Loss: 0.04314866 | Test Loss: 0.03478265 | Train Error: 0.31903699 | Test Error: -3.28047960 | Train Error_abs: 7.36036969 | Test Error_abs: 8.04053994
Epoch 89 | Train Loss: 0.04289255 | Test Loss: 0.03456946 | Train Error: -0.22450991 | Test Error: -3.26667258 | Train Error_abs: 7.50446761 | Test Error_abs: 8.03258803
Epoch 90 | Train Loss: 0.04255459 | Test Loss: 0.03424069 | Train Error: 0.03708083 | Test Error: -3.23051903 | Train Error_abs: 7.34344691 | Test Error_abs: 7.95553451
Epoch 91 | Train Loss: 0.04224748 | Test Loss: 0.03406460 | Train Error: 0.34895964 | Test Error: -3.20710135 | Train Error_abs: 7.42482570 | Test Error_abs: 7.91534532
Epoch 92 | Train Loss: 0.04196675 | Test Loss: 0.03373256 | Train Error: -0.08870103 | Test Error: -3.17398299 | Train Error_abs: 7.47062254 | Test Error_abs: 7.81238406
Epoch 93 | Train Loss: 0.04159447 | Test Loss: 0.03351281 | Train Error: 0.00932567 | Test Error: -3.15322346 | Train Error_abs: 7.58341420 | Test Error_abs: 7.79322767
Epoch 94 | Train Loss: 0.04144131 | Test Loss: 0.03317378 | Train Error: 0.12503632 | Test Error: -3.13571845 | Train Error_abs: 7.21304968 | Test Error_abs: 7.73125083
Epoch 95 | Train Loss: 0.04114735 | Test Loss: 0.03307424 | Train Error: -0.02793728 | Test Error: -3.12099024 | Train Error_abs: 7.42316277 | Test Error_abs: 7.70237912
Epoch 96 | Train Loss: 0.04076300 | Test Loss: 0.03271467 | Train Error: -0.02662913 | Test Error: -3.08652035 | Train Error_abs: 7.34712773 | Test Error_abs: 7.63533463
Epoch 97 | Train Loss: 0.04045383 | Test Loss: 0.03236665 | Train Error: -0.15636484 | Test Error: -3.09271634 | Train Error_abs: 7.37166391 | Test Error_abs: 7.62878779
Epoch 98 | Train Loss: 0.04021292 | Test Loss: 0.03225911 | Train Error: -0.11899601 | Test Error: -3.05726381 | Train Error_abs: 7.07381650 | Test Error_abs: 7.57838910
Epoch 99 | Train Loss: 0.04004855 | Test Loss: 0.03203605 | Train Error: -0.00365232 | Test Error: -3.02203507 | Train Error_abs: 7.22184014 | Test Error_abs: 7.47363804
Epoch 100 | Train Loss: 0.03965681 | Test Loss: 0.03173645 | Train Error: 0.08427141 | Test Error: -3.02586342 | Train Error_abs: 7.04823721 | Test Error_abs: 7.47834640
Epoch 101 | Train Loss: 0.03933013 | Test Loss: 0.03143120 | Train Error: 0.05769449 | Test Error: -3.01328255 | Train Error_abs: 7.31301299 | Test Error_abs: 7.45031587
Epoch 102 | Train Loss: 0.03909761 | Test Loss: 0.03118689 | Train Error: 0.06441095 | Test Error: -2.98075246 | Train Error_abs: 7.24652498 | Test Error_abs: 7.40542875
Epoch 103 | Train Loss: 0.03877177 | Test Loss: 0.03090150 | Train Error: -0.42671290 | Test Error: -2.95982558 | Train Error_abs: 7.54226337 | Test Error_abs: 7.31976402
Epoch 104 | Train Loss: 0.03858186 | Test Loss: 0.03063336 | Train Error: -0.02721817 | Test Error: -2.94593936 | Train Error_abs: 6.93898322 | Test Error_abs: 7.29023948
Epoch 105 | Train Loss: 0.03823151 | Test Loss: 0.03049097 | Train Error: 0.22400030 | Test Error: -2.92592866 | Train Error_abs: 7.08571694 | Test Error_abs: 7.27770118
Epoch 106 | Train Loss: 0.03798862 | Test Loss: 0.03011714 | Train Error: 0.13128369 | Test Error: -2.89980473 | Train Error_abs: 6.98473712 | Test Error_abs: 7.19031903
Epoch 107 | Train Loss: 0.03769171 | Test Loss: 0.02982104 | Train Error: 0.04772353 | Test Error: -2.88878110 | Train Error_abs: 7.08021400 | Test Error_abs: 7.16377422
Epoch 108 | Train Loss: 0.03739117 | Test Loss: 0.02963275 | Train Error: -0.23061800 | Test Error: -2.86583772 | Train Error_abs: 7.12824123 | Test Error_abs: 7.09433525
Epoch 109 | Train Loss: 0.03715043 | Test Loss: 0.02934030 | Train Error: 0.14884578 | Test Error: -2.87093242 | Train Error_abs: 6.96867019 | Test Error_abs: 7.08721893
Epoch 110 | Train Loss: 0.03685695 | Test Loss: 0.02899354 | Train Error: -0.05248157 | Test Error: -2.86220750 | Train Error_abs: 6.98277605 | Test Error_abs: 7.05924178
Epoch 111 | Train Loss: 0.03654773 | Test Loss: 0.02876344 | Train Error: -0.00427918 | Test Error: -2.84195833 | Train Error_abs: 6.72814304 | Test Error_abs: 7.00778399
Epoch 112 | Train Loss: 0.03624171 | Test Loss: 0.02866198 | Train Error: 0.39726032 | Test Error: -2.81470452 | Train Error_abs: 7.17614444 | Test Error_abs: 6.94890772
Epoch 113 | Train Loss: 0.03593125 | Test Loss: 0.02826050 | Train Error: -0.53366050 | Test Error: -2.78963835 | Train Error_abs: 7.32664035 | Test Error_abs: 6.88483435
Epoch 114 | Train Loss: 0.03565712 | Test Loss: 0.02802016 | Train Error: 0.10598597 | Test Error: -2.80672687 | Train Error_abs: 6.61047881 | Test Error_abs: 6.89098607
Epoch 115 | Train Loss: 0.03544043 | Test Loss: 0.02762560 | Train Error: 0.06516603 | Test Error: -2.80531027 | Train Error_abs: 6.73167241 | Test Error_abs: 6.84141690
Epoch 116 | Train Loss: 0.03515347 | Test Loss: 0.02747550 | Train Error: -0.01753711 | Test Error: -2.79082001 | Train Error_abs: 6.57578139 | Test Error_abs: 6.80768785
Epoch 117 | Train Loss: 0.03486184 | Test Loss: 0.02713181 | Train Error: -0.17427483 | Test Error: -2.78133971 | Train Error_abs: 6.63900762 | Test Error_abs: 6.75236044
Epoch 118 | Train Loss: 0.03460838 | Test Loss: 0.02679954 | Train Error: -0.15180370 | Test Error: -2.79407626 | Train Error_abs: 6.65654689 | Test Error_abs: 6.72994022
Epoch 119 | Train Loss: 0.03432852 | Test Loss: 0.02649941 | Train Error: 0.12662976 | Test Error: -2.80422361 | Train Error_abs: 6.55317415 | Test Error_abs: 6.72526335
Epoch 120 | Train Loss: 0.03408337 | Test Loss: 0.02641010 | Train Error: 0.01626089 | Test Error: -2.79476905 | Train Error_abs: 6.61709500 | Test Error_abs: 6.70593237
Epoch 121 | Train Loss: 0.03371765 | Test Loss: 0.02604455 | Train Error: -0.16017707 | Test Error: -2.80027444 | Train Error_abs: 6.47552428 | Test Error_abs: 6.66939639
Epoch 122 | Train Loss: 0.03346937 | Test Loss: 0.02574632 | Train Error: 0.21670877 | Test Error: -2.79646187 | Train Error_abs: 6.47437057 | Test Error_abs: 6.61206059
Epoch 123 | Train Loss: 0.03321842 | Test Loss: 0.02541155 | Train Error: -0.06447806 | Test Error: -2.80065159 | Train Error_abs: 6.42656999 | Test Error_abs: 6.58398555
Epoch 124 | Train Loss: 0.03304089 | Test Loss: 0.02529542 | Train Error: 0.63155961 | Test Error: -2.76601349 | Train Error_abs: 6.72581879 | Test Error_abs: 6.51688928
Epoch 125 | Train Loss: 0.03274137 | Test Loss: 0.02490065 | Train Error: -0.14109465 | Test Error: -2.78968384 | Train Error_abs: 6.50669600 | Test Error_abs: 6.52118640
Epoch 126 | Train Loss: 0.03248281 | Test Loss: 0.02477284 | Train Error: 0.62182670 | Test Error: -2.74989404 | Train Error_abs: 6.80921474 | Test Error_abs: 6.44565605
Epoch 127 | Train Loss: 0.03220206 | Test Loss: 0.02448724 | Train Error: -0.10858890 | Test Error: -2.71381109 | Train Error_abs: 6.36967032 | Test Error_abs: 6.38344438
Epoch 128 | Train Loss: 0.03189907 | Test Loss: 0.02430833 | Train Error: -0.19723015 | Test Error: -2.72060467 | Train Error_abs: 6.51446381 | Test Error_abs: 6.37345248
Epoch 129 | Train Loss: 0.03161871 | Test Loss: 0.02404154 | Train Error: -0.35797650 | Test Error: -2.68756062 | Train Error_abs: 6.34187158 | Test Error_abs: 6.25659676
Epoch 130 | Train Loss: 0.03141160 | Test Loss: 0.02389653 | Train Error: -0.11654422 | Test Error: -2.68745075 | Train Error_abs: 6.16697300 | Test Error_abs: 6.25071229
Epoch 131 | Train Loss: 0.03120707 | Test Loss: 0.02363774 | Train Error: -0.02945931 | Test Error: -2.68589795 | Train Error_abs: 6.24127395 | Test Error_abs: 6.19961207
Epoch 132 | Train Loss: 0.03097197 | Test Loss: 0.02341093 | Train Error: 0.47283590 | Test Error: -2.67917441 | Train Error_abs: 6.21942318 | Test Error_abs: 6.16102944
Epoch 133 | Train Loss: 0.03072204 | Test Loss: 0.02314655 | Train Error: -0.13488120 | Test Error: -2.71480854 | Train Error_abs: 6.34032865 | Test Error_abs: 6.18400863
Epoch 134 | Train Loss: 0.03051333 | Test Loss: 0.02295077 | Train Error: 0.07441073 | Test Error: -2.64847386 | Train Error_abs: 5.94403591 | Test Error_abs: 6.04898067
Epoch 135 | Train Loss: 0.03025071 | Test Loss: 0.02268006 | Train Error: 0.15036353 | Test Error: -2.68851275 | Train Error_abs: 5.94896795 | Test Error_abs: 6.09261986
Epoch 136 | Train Loss: 0.03004100 | Test Loss: 0.02245055 | Train Error: -0.21799867 | Test Error: -2.68489575 | Train Error_abs: 5.92043924 | Test Error_abs: 6.04068089
Epoch 137 | Train Loss: 0.02984647 | Test Loss: 0.02224418 | Train Error: 0.05041378 | Test Error: -2.64506754 | Train Error_abs: 5.97947065 | Test Error_abs: 5.98440778
Epoch 138 | Train Loss: 0.02958691 | Test Loss: 0.02201215 | Train Error: 0.12398880 | Test Error: -2.61519162 | Train Error_abs: 6.04767783 | Test Error_abs: 5.92345617
Epoch 139 | Train Loss: 0.02936679 | Test Loss: 0.02179320 | Train Error: -0.28266885 | Test Error: -2.61775499 | Train Error_abs: 6.13075718 | Test Error_abs: 5.86892790
Epoch 140 | Train Loss: 0.02916182 | Test Loss: 0.02165249 | Train Error: 0.13105684 | Test Error: -2.57836299 | Train Error_abs: 5.86616875 | Test Error_abs: 5.78483109
Epoch 141 | Train Loss: 0.02894921 | Test Loss: 0.02147230 | Train Error: -0.48330520 | Test Error: -2.56961948 | Train Error_abs: 6.09745204 | Test Error_abs: 5.76269398
Epoch 142 | Train Loss: 0.02873649 | Test Loss: 0.02135210 | Train Error: 0.01117415 | Test Error: -2.54429720 | Train Error_abs: 5.74113726 | Test Error_abs: 5.72192198
Epoch 143 | Train Loss: 0.02853112 | Test Loss: 0.02109962 | Train Error: -0.05522968 | Test Error: -2.54217186 | Train Error_abs: 5.85426872 | Test Error_abs: 5.68301377
Epoch 144 | Train Loss: 0.02825586 | Test Loss: 0.02082700 | Train Error: 0.08059378 | Test Error: -2.53507995 | Train Error_abs: 5.79820464 | Test Error_abs: 5.62949828
Epoch 145 | Train Loss: 0.02817638 | Test Loss: 0.02073351 | Train Error: 0.08258414 | Test Error: -2.48831847 | Train Error_abs: 5.68808507 | Test Error_abs: 5.56653128
Epoch 146 | Train Loss: 0.02795720 | Test Loss: 0.02067938 | Train Error: -0.05137858 | Test Error: -2.43696605 | Train Error_abs: 5.62862477 | Test Error_abs: 5.48285230
Epoch 147 | Train Loss: 0.02772488 | Test Loss: 0.02039307 | Train Error: 0.11056696 | Test Error: -2.44074958 | Train Error_abs: 5.48948498 | Test Error_abs: 5.48110220
Epoch 148 | Train Loss: 0.02761416 | Test Loss: 0.02026442 | Train Error: 0.25059803 | Test Error: -2.45784330 | Train Error_abs: 5.58213300 | Test Error_abs: 5.46938872
Epoch 149 | Train Loss: 0.02735676 | Test Loss: 0.02013904 | Train Error: 0.16774325 | Test Error: -2.42029935 | Train Error_abs: 5.57752943 | Test Error_abs: 5.38500997
Epoch 150 | Train Loss: 0.02723990 | Test Loss: 0.01995247 | Train Error: 0.16782815 | Test Error: -2.37458909 | Train Error_abs: 5.61292127 | Test Error_abs: 5.28804770
