Epoch 35 | Train Loss: 0.35214562 | Test Loss: 0.35131236 | Train Error: -1.06577101 | Test Error: -1.19062224 | Train Error_abs: 2.99675773 | Test Error_abs: 1.86086314
Epoch 36 | Train Loss: 0.35118167 | Test Loss: 0.35041068 | Train Error: -0.75029505 | Test Error: -1.17822016 | Train Error_abs: 3.16930236 | Test Error_abs: 1.87556463
Epoch 37 | Train Loss: 0.34996740 | Test Loss: 0.34934212 | Train Error: -0.87088842 | Test Error: -1.16539252 | Train Error_abs: 2.78293339 | Test Error_abs: 1.88872158
Epoch 38 | Train Loss: 0.34916792 | Test Loss: 0.34789543 | Train Error: -0.63646461 | Test Error: -1.15427111 | Train Error_abs: 3.15901640 | Test Error_abs: 1.90034377
Epoch 39 | Train Loss: 0.34806097 | Test Loss: 0.34640173 | Train Error: -0.19222471 | Test Error: -1.14530609 | Train Error_abs: 3.62044228 | Test Error_abs: 1.91016778
Epoch 40 | Train Loss: 0.34662429 | Test Loss: 0.34422063 | Train Error: -0.60815741 | Test Error: -1.13169244 | Train Error_abs: 3.38521238 | Test Error_abs: 1.92982610
Epoch 41 | Train Loss: 0.34532184 | Test Loss: 0.34205247 | Train Error: -0.67204412 | Test Error: -1.12745451 | Train Error_abs: 3.11227473 | Test Error_abs: 1.93958207
Epoch 42 | Train Loss: 0.34405166 | Test Loss: 0.33899773 | Train Error: -0.72602961 | Test Error: -1.11647238 | Train Error_abs: 3.16840222 | Test Error_abs: 1.96799158
Epoch 43 | Train Loss: 0.34236155 | Test Loss: 0.33638238 | Train Error: -0.48723542 | Test Error: -1.10176490 | Train Error_abs: 3.36732980 | Test Error_abs: 1.99743284
Epoch 44 | Train Loss: 0.34083724 | Test Loss: 0.33360966 | Train Error: -0.45222800 | Test Error: -1.08831274 | Train Error_abs: 3.64834916 | Test Error_abs: 2.02657248
Epoch 45 | Train Loss: 0.33920012 | Test Loss: 0.33037410 | Train Error: -0.60971147 | Test Error: -1.08557196 | Train Error_abs: 3.29045795 | Test Error_abs: 2.07766148
Epoch 46 | Train Loss: 0.33749327 | Test Loss: 0.32754665 | Train Error: -0.69271898 | Test Error: -1.07129812 | Train Error_abs: 3.46246150 | Test Error_abs: 2.11420166
Epoch 47 | Train Loss: 0.33544258 | Test Loss: 0.32453072 | Train Error: -0.20853015 | Test Error: -1.06101096 | Train Error_abs: 3.88027840 | Test Error_abs: 2.15342116
Epoch 48 | Train Loss: 0.33348168 | Test Loss: 0.32206203 | Train Error: -0.33787069 | Test Error: -1.05358240 | Train Error_abs: 3.63339482 | Test Error_abs: 2.17214969
Epoch 49 | Train Loss: 0.33182653 | Test Loss: 0.31891608 | Train Error: -1.26444298 | Test Error: -1.04560429 | Train Error_abs: 3.42028544 | Test Error_abs: 2.21137851
Epoch 50 | Train Loss: 0.32934690 | Test Loss: 0.31573308 | Train Error: -0.63610176 | Test Error: -1.03689232 | Train Error_abs: 3.56845572 | Test Error_abs: 2.26035787
Epoch 51 | Train Loss: 0.32713692 | Test Loss: 0.31237360 | Train Error: -0.66343586 | Test Error: -1.02868661 | Train Error_abs: 3.46673172 | Test Error_abs: 2.29013347
Epoch 52 | Train Loss: 0.32468893 | Test Loss: 0.30916112 | Train Error: -0.61783224 | Test Error: -1.02273694 | Train Error_abs: 3.54658521 | Test Error_abs: 2.32378887
Epoch 53 | Train Loss: 0.32201284 | Test Loss: 0.30538932 | Train Error: -1.36218946 | Test Error: -1.00404679 | Train Error_abs: 3.41682068 | Test Error_abs: 2.35593888
