Epoch 1 | Train Loss: 1.01173766 | Test Loss: 0.26960716 | Train Error: 2.80953639 | Test Error: 3.46703595 | Train Error_abs: 3.00768904 | Test Error_abs: 3.52758850
Epoch 2 | Train Loss: 0.32483564 | Test Loss: 0.24178368 | Train Error: 3.92502041 | Test Error: 3.72376354 | Train Error_abs: 3.97863073 | Test Error_abs: 3.78297642
Epoch 3 | Train Loss: 0.26406086 | Test Loss: 0.17478027 | Train Error: 3.63288057 | Test Error: 2.07535973 | Train Error_abs: 3.75029742 | Test Error_abs: 2.40219524
Epoch 4 | Train Loss: 0.16507748 | Test Loss: 0.13014102 | Train Error: 2.15507306 | Test Error: 1.41325655 | Train Error_abs: 2.45902131 | Test Error_abs: 1.86914780
Epoch 5 | Train Loss: 0.12907939 | Test Loss: 0.11060574 | Train Error: 1.78710373 | Test Error: 1.23450431 | Train Error_abs: 2.11416266 | Test Error_abs: 1.69801829
Epoch 6 | Train Loss: 0.10255020 | Test Loss: 0.08590111 | Train Error: 1.56437615 | Test Error: 1.05036562 | Train Error_abs: 1.88318436 | Test Error_abs: 1.45691007
Epoch 7 | Train Loss: 0.07903998 | Test Loss: 0.07416694 | Train Error: 1.37621592 | Test Error: 0.74002223 | Train Error_abs: 1.67382217 | Test Error_abs: 1.21123905
Epoch 8 | Train Loss: 0.06279157 | Test Loss: 0.05472725 | Train Error: 1.23068630 | Test Error: 0.67960709 | Train Error_abs: 1.51530176 | Test Error_abs: 1.07997514
Epoch 9 | Train Loss: 0.05203990 | Test Loss: 0.05274054 | Train Error: 1.14430033 | Test Error: 0.55471355 | Train Error_abs: 1.41641488 | Test Error_abs: 1.00335296
Epoch 10 | Train Loss: 0.04620289 | Test Loss: 0.04188451 | Train Error: 1.15319340 | Test Error: 0.70188980 | Train Error_abs: 1.40578449 | Test Error_abs: 1.07262526
Epoch 11 | Train Loss: 0.04324280 | Test Loss: 0.04012817 | Train Error: 1.18541521 | Test Error: 0.68592386 | Train Error_abs: 1.42397678 | Test Error_abs: 1.06909136
Epoch 12 | Train Loss: 0.04190362 | Test Loss: 0.04853324 | Train Error: 1.18260652 | Test Error: 0.52701596 | Train Error_abs: 1.41819066 | Test Error_abs: 1.00314912
Epoch 13 | Train Loss: 0.04132704 | Test Loss: 0.04080000 | Train Error: 1.17864281 | Test Error: 0.61490652 | Train Error_abs: 1.41329255 | Test Error_abs: 1.02309565
Epoch 14 | Train Loss: 0.04091352 | Test Loss: 0.04095105 | Train Error: 1.18838914 | Test Error: 0.59896512 | Train Error_abs: 1.42188143 | Test Error_abs: 1.01015644
Epoch 15 | Train Loss: 0.04060448 | Test Loss: 0.03903013 | Train Error: 1.18231391 | Test Error: 0.62924711 | Train Error_abs: 1.41342334 | Test Error_abs: 1.01888407
Epoch 16 | Train Loss: 0.04024230 | Test Loss: 0.04187197 | Train Error: 1.18294772 | Test Error: 0.54567821 | Train Error_abs: 1.41220221 | Test Error_abs: 0.97393431
Epoch 17 | Train Loss: 0.03986200 | Test Loss: 0.03623243 | Train Error: 1.18210021 | Test Error: 0.69155022 | Train Error_abs: 1.41038120 | Test Error_abs: 1.04623006
Epoch 18 | Train Loss: 0.03991462 | Test Loss: 0.03820695 | Train Error: 1.18619555 | Test Error: 0.62152326 | Train Error_abs: 1.41336142 | Test Error_abs: 1.01072700
Epoch 19 | Train Loss: 0.03962451 | Test Loss: 0.03647383 | Train Error: 1.18507640 | Test Error: 0.68261021 | Train Error_abs: 1.41147968 | Test Error_abs: 1.04722740
Epoch 20 | Train Loss: 0.03943944 | Test Loss: 0.03771719 | Train Error: 1.18922614 | Test Error: 0.65884685 | Train Error_abs: 1.41498698 | Test Error_abs: 1.04546187
Epoch 21 | Train Loss: 0.03949247 | Test Loss: 0.03777278 | Train Error: 1.18725032 | Test Error: 0.64321904 | Train Error_abs: 1.41242627 | Test Error_abs: 1.03181494
Epoch 22 | Train Loss: 0.03935452 | Test Loss: 0.03721466 | Train Error: 1.18484998 | Test Error: 0.64653809 | Train Error_abs: 1.41007800 | Test Error_abs: 1.02930029
Epoch 23 | Train Loss: 0.03923471 | Test Loss: 0.03772400 | Train Error: 1.18394103 | Test Error: 0.63379255 | Train Error_abs: 1.40858209 | Test Error_abs: 1.02662661
Epoch 24 | Train Loss: 0.03924177 | Test Loss: 0.03585483 | Train Error: 1.18971105 | Test Error: 0.68405566 | Train Error_abs: 1.41390427 | Test Error_abs: 1.05139341
Epoch 25 | Train Loss: 0.03891062 | Test Loss: 0.03746448 | Train Error: 1.18307888 | Test Error: 0.62833863 | Train Error_abs: 1.40678143 | Test Error_abs: 1.02165291
Epoch 26 | Train Loss: 0.03895323 | Test Loss: 0.03923061 | Train Error: 1.17508237 | Test Error: 0.58418621 | Train Error_abs: 1.39911634 | Test Error_abs: 0.99860584
Epoch 27 | Train Loss: 0.03882954 | Test Loss: 0.03796813 | Train Error: 1.18026102 | Test Error: 0.61577565 | Train Error_abs: 1.40371706 | Test Error_abs: 1.01604561
Epoch 28 | Train Loss: 0.03890879 | Test Loss: 0.03852321 | Train Error: 1.17913595 | Test Error: 0.58930582 | Train Error_abs: 1.40344204 | Test Error_abs: 0.99969529
Epoch 29 | Train Loss: 0.03872697 | Test Loss: 0.03628656 | Train Error: 1.17928535 | Test Error: 0.69811468 | Train Error_abs: 1.40270291 | Test Error_abs: 1.06681190
Epoch 30 | Train Loss: 0.03864523 | Test Loss: 0.03716513 | Train Error: 1.17717900 | Test Error: 0.62139483 | Train Error_abs: 1.40056364 | Test Error_abs: 1.01438631
Epoch 31 | Train Loss: 0.03863578 | Test Loss: 0.03727082 | Train Error: 1.17223376 | Test Error: 0.61872206 | Train Error_abs: 1.39539945 | Test Error_abs: 1.01365895
Epoch 32 | Train Loss: 0.03847062 | Test Loss: 0.03844962 | Train Error: 1.16890145 | Test Error: 0.59148658 | Train Error_abs: 1.39179542 | Test Error_abs: 1.00320515
Epoch 33 | Train Loss: 0.03851959 | Test Loss: 0.03718759 | Train Error: 1.17351577 | Test Error: 0.60707944 | Train Error_abs: 1.39734848 | Test Error_abs: 1.00380609
Epoch 34 | Train Loss: 0.03837297 | Test Loss: 0.04048572 | Train Error: 1.17854653 | Test Error: 0.53816485 | Train Error_abs: 1.40039844 | Test Error_abs: 0.97496805
Epoch 35 | Train Loss: 0.03825974 | Test Loss: 0.03669980 | Train Error: 1.16981591 | Test Error: 0.62218832 | Train Error_abs: 1.39214954 | Test Error_abs: 1.01466989
Epoch 36 | Train Loss: 0.03831886 | Test Loss: 0.03638452 | Train Error: 1.17387989 | Test Error: 0.61214275 | Train Error_abs: 1.39515314 | Test Error_abs: 1.00464942
Epoch 37 | Train Loss: 0.03821109 | Test Loss: 0.03690113 | Train Error: 1.17475158 | Test Error: 0.59329862 | Train Error_abs: 1.39768703 | Test Error_abs: 0.99368923
Epoch 38 | Train Loss: 0.03806644 | Test Loss: 0.03804002 | Train Error: 1.16978060 | Test Error: 0.59263086 | Train Error_abs: 1.39173490 | Test Error_abs: 1.00256756
Epoch 39 | Train Loss: 0.03808442 | Test Loss: 0.03644894 | Train Error: 1.17261384 | Test Error: 0.60469704 | Train Error_abs: 1.39428668 | Test Error_abs: 1.00142457
Epoch 40 | Train Loss: 0.03797618 | Test Loss: 0.03989841 | Train Error: 1.17126867 | Test Error: 0.53053435 | Train Error_abs: 1.39307971 | Test Error_abs: 0.96867775
Epoch 41 | Train Loss: 0.03793716 | Test Loss: 0.03740807 | Train Error: 1.17101042 | Test Error: 0.57597370 | Train Error_abs: 1.39222578 | Test Error_abs: 0.98573589
Epoch 42 | Train Loss: 0.03784078 | Test Loss: 0.03497423 | Train Error: 1.16685498 | Test Error: 0.64151669 | Train Error_abs: 1.38902681 | Test Error_abs: 1.01752039
Epoch 43 | Train Loss: 0.03778408 | Test Loss: 0.03619340 | Train Error: 1.16956033 | Test Error: 0.59229442 | Train Error_abs: 1.39066068 | Test Error_abs: 0.98911254
