Epoch 1 | Train Loss: 0.68088821 | Test Loss: 0.31684228 | Train Error: 143980.25752794 | Test Error: 80445.88774946 | Train Error_abs: 143980.67762392 | Test Error_abs: 80446.50026571
Epoch 2 | Train Loss: 0.20212947 | Test Loss: 0.17444673 | Train Error: 147701.99511153 | Test Error: 52840.94881629 | Train Error_abs: 147702.32215805 | Test Error_abs: 52841.55738941
Epoch 3 | Train Loss: 0.09904524 | Test Loss: 0.07835273 | Train Error: 99867.25454660 | Test Error: 38060.14589424 | Train Error_abs: 99867.48963828 | Test Error_abs: 38060.57773868
Epoch 4 | Train Loss: 0.06939076 | Test Loss: 0.06506660 | Train Error: 69544.66536214 | Test Error: 36882.80914030 | Train Error_abs: 69544.90996037 | Test Error_abs: 36883.24275148
Epoch 5 | Train Loss: 0.06023329 | Test Loss: 0.05655569 | Train Error: 64902.09969143 | Test Error: 38324.69288912 | Train Error_abs: 64902.35018744 | Test Error_abs: 38325.10433934
Epoch 6 | Train Loss: 0.05525045 | Test Loss: 0.05112471 | Train Error: 62532.06961163 | Test Error: 40405.31485983 | Train Error_abs: 62532.32425630 | Test Error_abs: 40405.69976328
Epoch 7 | Train Loss: 0.05214609 | Test Loss: 0.04553362 | Train Error: 61153.07275122 | Test Error: 42569.15519595 | Train Error_abs: 61153.32958743 | Test Error_abs: 42569.50209888
Epoch 8 | Train Loss: 0.05020936 | Test Loss: 0.04188830 | Train Error: 60102.90909992 | Test Error: 46249.34688535 | Train Error_abs: 60103.16903924 | Test Error_abs: 46249.64665895
Epoch 9 | Train Loss: 0.04870609 | Test Loss: 0.04135164 | Train Error: 59367.77059886 | Test Error: 45572.93346133 | Train Error_abs: 59368.03053752 | Test Error_abs: 45573.24572833
Epoch 10 | Train Loss: 0.04752940 | Test Loss: 0.04306034 | Train Error: 58733.13587181 | Test Error: 41120.48921152 | Train Error_abs: 58733.39689603 | Test Error_abs: 41120.85000960
Epoch 11 | Train Loss: 0.04660499 | Test Loss: 0.03994967 | Train Error: 58065.47885392 | Test Error: 46206.64171839 | Train Error_abs: 58065.74117662 | Test Error_abs: 46206.95031891
Epoch 12 | Train Loss: 0.04595694 | Test Loss: 0.04068058 | Train Error: 57792.19155570 | Test Error: 43296.56085531 | Train Error_abs: 57792.45451917 | Test Error_abs: 43296.89729757
Epoch 13 | Train Loss: 0.04523060 | Test Loss: 0.04233546 | Train Error: 57147.91647388 | Test Error: 40378.76962765 | Train Error_abs: 57148.17952060 | Test Error_abs: 40379.14042529
Epoch 14 | Train Loss: 0.04486699 | Test Loss: 0.04442313 | Train Error: 56748.26393194 | Test Error: 39183.23850301 | Train Error_abs: 56748.52807542 | Test Error_abs: 39183.63469711
Epoch 15 | Train Loss: 0.04460642 | Test Loss: 0.04031702 | Train Error: 56819.61750138 | Test Error: 43115.33448532 | Train Error_abs: 56819.88179108 | Test Error_abs: 43115.67845564
Epoch 16 | Train Loss: 0.04402252 | Test Loss: 0.04057607 | Train Error: 56219.61337388 | Test Error: 42238.31101828 | Train Error_abs: 56219.87802991 | Test Error_abs: 42238.66377863
Epoch 17 | Train Loss: 0.04372407 | Test Loss: 0.03927856 | Train Error: 56235.86129770 | Test Error: 44274.16555690 | Train Error_abs: 56236.12554484 | Test Error_abs: 44274.49670572
Epoch 18 | Train Loss: 0.04338946 | Test Loss: 0.04003217 | Train Error: 56235.43460891 | Test Error: 43621.63631990 | Train Error_abs: 56235.69853731 | Test Error_abs: 43621.98227829
Epoch 19 | Train Loss: 0.04310137 | Test Loss: 0.03917177 | Train Error: 56214.07770713 | Test Error: 44511.25294529 | Train Error_abs: 56214.34178111 | Test Error_abs: 44511.58457365
Epoch 20 | Train Loss: 0.04298293 | Test Loss: 0.03767852 | Train Error: 56185.51919226 | Test Error: 47468.25296647 | Train Error_abs: 56185.78287521 | Test Error_abs: 47468.55212752
Epoch 21 | Train Loss: 0.04280646 | Test Loss: 0.03842097 | Train Error: 55867.08303570 | Test Error: 46040.39534999 | Train Error_abs: 55867.34649757 | Test Error_abs: 46040.71435585
Epoch 22 | Train Loss: 0.04250443 | Test Loss: 0.03908538 | Train Error: 55806.97422316 | Test Error: 45103.64277878 | Train Error_abs: 55807.23760821 | Test Error_abs: 45103.97700775
Epoch 23 | Train Loss: 0.04231023 | Test Loss: 0.03676417 | Train Error: 55542.64823001 | Test Error: 52336.83188903 | Train Error_abs: 55542.91252037 | Test Error_abs: 52337.09071883
Epoch 24 | Train Loss: 0.04217836 | Test Loss: 0.03693311 | Train Error: 55506.08261215 | Test Error: 48201.64992772 | Train Error_abs: 55506.34695908 | Test Error_abs: 48201.94104039
Epoch 25 | Train Loss: 0.04188671 | Test Loss: 0.03661335 | Train Error: 55248.83323892 | Test Error: 50108.73033806 | Train Error_abs: 55249.09768457 | Test Error_abs: 50109.00988342
Epoch 26 | Train Loss: 0.04184860 | Test Loss: 0.03774576 | Train Error: 55052.02290197 | Test Error: 46484.60074794 | Train Error_abs: 55052.28865451 | Test Error_abs: 46484.91679208
Epoch 27 | Train Loss: 0.04154841 | Test Loss: 0.03816046 | Train Error: 54762.45315802 | Test Error: 45847.03416474 | Train Error_abs: 54762.71772908 | Test Error_abs: 45847.35968523
Epoch 28 | Train Loss: 0.04139707 | Test Loss: 0.03633339 | Train Error: 54491.72884058 | Test Error: 49370.15935811 | Train Error_abs: 54491.99498588 | Test Error_abs: 49370.43559133
Epoch 29 | Train Loss: 0.04113433 | Test Loss: 0.03618328 | Train Error: 54102.47971452 | Test Error: 49292.40213611 | Train Error_abs: 54102.74547719 | Test Error_abs: 49292.67648803
Epoch 30 | Train Loss: 0.04110777 | Test Loss: 0.03637143 | Train Error: 53698.91403846 | Test Error: 48417.15282301 | Train Error_abs: 53699.18220378 | Test Error_abs: 48417.44067886
Epoch 31 | Train Loss: 0.04089098 | Test Loss: 0.03665550 | Train Error: 53411.94579525 | Test Error: 47045.93468296 | Train Error_abs: 53412.21463477 | Test Error_abs: 47046.23894913
Epoch 32 | Train Loss: 0.04069049 | Test Loss: 0.03655144 | Train Error: 53205.95797206 | Test Error: 48647.39920365 | Train Error_abs: 53206.22765794 | Test Error_abs: 48647.69376536
Epoch 33 | Train Loss: 0.04054593 | Test Loss: 0.03626927 | Train Error: 52805.65528976 | Test Error: 47404.36915856 | Train Error_abs: 52805.92625824 | Test Error_abs: 47404.67024558
