Epoch 35 | Train Loss: 0.02826380 | Test Loss: 0.02676591 | Train Error: 0.92204357 | Test Error: 0.82278663 | Train Error_abs: 1.04961003 | Test Error_abs: 0.95844573
Epoch 36 | Train Loss: 0.02790250 | Test Loss: 0.02635050 | Train Error: 0.91381313 | Test Error: 0.80550806 | Train Error_abs: 1.04104434 | Test Error_abs: 0.95058479
Epoch 37 | Train Loss: 0.02741313 | Test Loss: 0.02840699 | Train Error: 0.90326079 | Test Error: 0.78148774 | Train Error_abs: 1.03028784 | Test Error_abs: 0.94723958
Epoch 38 | Train Loss: 0.02726943 | Test Loss: 0.02813019 | Train Error: 0.89893151 | Test Error: 0.75609231 | Train Error_abs: 1.02595637 | Test Error_abs: 0.92168359
Epoch 39 | Train Loss: 0.02686550 | Test Loss: 0.02589103 | Train Error: 0.88486361 | Test Error: 0.76906931 | Train Error_abs: 1.01217854 | Test Error_abs: 0.91623494
Epoch 40 | Train Loss: 0.02652452 | Test Loss: 0.02575436 | Train Error: 0.87703197 | Test Error: 0.79459975 | Train Error_abs: 1.00379371 | Test Error_abs: 0.93133906
Epoch 41 | Train Loss: 0.02612801 | Test Loss: 0.02561573 | Train Error: 0.87362308 | Test Error: 0.79270001 | Train Error_abs: 0.99964153 | Test Error_abs: 0.93361166
Epoch 42 | Train Loss: 0.02599379 | Test Loss: 0.02485963 | Train Error: 0.86709522 | Test Error: 0.74949414 | Train Error_abs: 0.99334761 | Test Error_abs: 0.89107253
Epoch 43 | Train Loss: 0.02549437 | Test Loss: 0.02473838 | Train Error: 0.85761220 | Test Error: 0.74273024 | Train Error_abs: 0.98298574 | Test Error_abs: 0.88683531
Epoch 44 | Train Loss: 0.02525730 | Test Loss: 0.02406482 | Train Error: 0.85195436 | Test Error: 0.73721784 | Train Error_abs: 0.97717544 | Test Error_abs: 0.87806796
Epoch 45 | Train Loss: 0.02494276 | Test Loss: 0.02396797 | Train Error: 0.84122252 | Test Error: 0.72008084 | Train Error_abs: 0.96643540 | Test Error_abs: 0.86493047
Epoch 46 | Train Loss: 0.02463129 | Test Loss: 0.02393003 | Train Error: 0.83556453 | Test Error: 0.72425577 | Train Error_abs: 0.96037764 | Test Error_abs: 0.86022832
Epoch 47 | Train Loss: 0.02462658 | Test Loss: 0.02349036 | Train Error: 0.83037482 | Test Error: 0.73084584 | Train Error_abs: 0.95508898 | Test Error_abs: 0.86308065
