Epoch 35 | Train Loss: 0.08467305 | Test Loss: 0.07442816 | Train Error: 0.01273660 | Test Error: -13.31776965 | Train Error_abs: 9.59203895 | Test Error_abs: 22.44303648
Epoch 36 | Train Loss: 0.08347499 | Test Loss: 0.07329626 | Train Error: 0.35021934 | Test Error: -13.37969460 | Train Error_abs: 10.02867143 | Test Error_abs: 22.49909057
Epoch 37 | Train Loss: 0.08251613 | Test Loss: 0.07214646 | Train Error: -0.13616052 | Test Error: -13.76616558 | Train Error_abs: 9.88694835 | Test Error_abs: 22.92833677
Epoch 38 | Train Loss: 0.08138519 | Test Loss: 0.07106619 | Train Error: -0.45610081 | Test Error: -13.97414537 | Train Error_abs: 9.86690079 | Test Error_abs: 23.14220795
Epoch 39 | Train Loss: 0.08034173 | Test Loss: 0.06997884 | Train Error: -0.15932262 | Test Error: -13.99283525 | Train Error_abs: 10.00548101 | Test Error_abs: 23.18533641
Epoch 40 | Train Loss: 0.07931235 | Test Loss: 0.06887934 | Train Error: -0.01289653 | Test Error: -14.11529623 | Train Error_abs: 9.67361351 | Test Error_abs: 23.42466840
Epoch 41 | Train Loss: 0.07838821 | Test Loss: 0.06799386 | Train Error: -0.06975529 | Test Error: -14.22777593 | Train Error_abs: 9.38077597 | Test Error_abs: 23.41907401
Epoch 42 | Train Loss: 0.07730143 | Test Loss: 0.06701295 | Train Error: 0.06747021 | Test Error: -14.36316279 | Train Error_abs: 9.26109570 | Test Error_abs: 23.63450110
Epoch 43 | Train Loss: 0.07638446 | Test Loss: 0.06608027 | Train Error: -0.14807083 | Test Error: -14.65219800 | Train Error_abs: 9.82472072 | Test Error_abs: 23.83262011
Epoch 44 | Train Loss: 0.07534886 | Test Loss: 0.06506994 | Train Error: 0.09622092 | Test Error: -14.73212252 | Train Error_abs: 9.62876259 | Test Error_abs: 23.93429130
Epoch 45 | Train Loss: 0.07443063 | Test Loss: 0.06417533 | Train Error: 0.28498019 | Test Error: -14.97818261 | Train Error_abs: 9.89164241 | Test Error_abs: 24.21628248
Epoch 46 | Train Loss: 0.07349658 | Test Loss: 0.06323889 | Train Error: 0.08670572 | Test Error: -14.94877359 | Train Error_abs: 9.49514146 | Test Error_abs: 24.16587557
Epoch 47 | Train Loss: 0.07243758 | Test Loss: 0.06242948 | Train Error: -0.35687365 | Test Error: -15.18753034 | Train Error_abs: 9.75071865 | Test Error_abs: 24.46304768
Epoch 48 | Train Loss: 0.07145931 | Test Loss: 0.06145149 | Train Error: 0.06499704 | Test Error: -15.74001311 | Train Error_abs: 9.50962394 | Test Error_abs: 25.08012759
Epoch 49 | Train Loss: 0.07062249 | Test Loss: 0.06059480 | Train Error: -0.31826990 | Test Error: -15.78200430 | Train Error_abs: 9.43156390 | Test Error_abs: 25.18439989
Epoch 50 | Train Loss: 0.06966401 | Test Loss: 0.05972720 | Train Error: -0.30230079 | Test Error: -15.85381127 | Train Error_abs: 9.86905430 | Test Error_abs: 25.24290802
Epoch 51 | Train Loss: 0.06883646 | Test Loss: 0.05880823 | Train Error: 0.07084830 | Test Error: -16.05832174 | Train Error_abs: 9.41009871 | Test Error_abs: 25.57256398
Epoch 52 | Train Loss: 0.06787393 | Test Loss: 0.05791540 | Train Error: -0.23633571 | Test Error: -16.22668911 | Train Error_abs: 9.52777342 | Test Error_abs: 25.78814436
Epoch 53 | Train Loss: 0.06703058 | Test Loss: 0.05706036 | Train Error: -0.12924597 | Test Error: -16.42429280 | Train Error_abs: 9.63486336 | Test Error_abs: 25.96410522
Epoch 54 | Train Loss: 0.06612987 | Test Loss: 0.05610965 | Train Error: -0.15561349 | Test Error: -16.61789510 | Train Error_abs: 9.78240116 | Test Error_abs: 26.22718600
Epoch 55 | Train Loss: 0.06521223 | Test Loss: 0.05536134 | Train Error: -0.37927823 | Test Error: -16.49323484 | Train Error_abs: 9.68670770 | Test Error_abs: 26.12883454
Epoch 56 | Train Loss: 0.06429372 | Test Loss: 0.05440754 | Train Error: -0.07170603 | Test Error: -16.53914879 | Train Error_abs: 9.79594644 | Test Error_abs: 26.34686021
Epoch 57 | Train Loss: 0.06353233 | Test Loss: 0.05360994 | Train Error: -0.23882649 | Test Error: -16.88569056 | Train Error_abs: 9.58617117 | Test Error_abs: 26.62326960
Epoch 58 | Train Loss: 0.06253052 | Test Loss: 0.05266589 | Train Error: -0.38715588 | Test Error: -17.03303886 | Train Error_abs: 9.50676013 | Test Error_abs: 26.88033352
Epoch 59 | Train Loss: 0.06167392 | Test Loss: 0.05184140 | Train Error: -0.39228815 | Test Error: -16.98242555 | Train Error_abs: 9.93600271 | Test Error_abs: 26.89472685
Epoch 60 | Train Loss: 0.06088948 | Test Loss: 0.05109282 | Train Error: -0.15323518 | Test Error: -16.88031783 | Train Error_abs: 9.66851187 | Test Error_abs: 26.77519009
Epoch 61 | Train Loss: 0.06003897 | Test Loss: 0.05024577 | Train Error: -0.07747046 | Test Error: -17.14482021 | Train Error_abs: 9.56655671 | Test Error_abs: 27.11149178
Epoch 62 | Train Loss: 0.05920840 | Test Loss: 0.04935692 | Train Error: 0.03111211 | Test Error: -17.18088752 | Train Error_abs: 9.75669893 | Test Error_abs: 27.29729428
Epoch 63 | Train Loss: 0.05831857 | Test Loss: 0.04866974 | Train Error: -0.53859313 | Test Error: -17.15711566 | Train Error_abs: 9.58565081 | Test Error_abs: 27.16447461
Epoch 64 | Train Loss: 0.05756862 | Test Loss: 0.04785664 | Train Error: -0.28213770 | Test Error: -17.30841441 | Train Error_abs: 9.87743444 | Test Error_abs: 27.36351181
Epoch 65 | Train Loss: 0.05683270 | Test Loss: 0.04713327 | Train Error: -0.21980726 | Test Error: -17.29291687 | Train Error_abs: 10.02260027 | Test Error_abs: 27.40808877
Epoch 66 | Train Loss: 0.05593109 | Test Loss: 0.04648626 | Train Error: -0.07506914 | Test Error: -17.33392789 | Train Error_abs: 9.78466618 | Test Error_abs: 27.33226537
Epoch 67 | Train Loss: 0.05522552 | Test Loss: 0.04581377 | Train Error: -0.47775990 | Test Error: -17.28923993 | Train Error_abs: 9.50548093 | Test Error_abs: 27.30261132
Epoch 68 | Train Loss: 0.05449589 | Test Loss: 0.04511245 | Train Error: -0.32041904 | Test Error: -17.22219047 | Train Error_abs: 10.12761409 | Test Error_abs: 27.23848264
Epoch 69 | Train Loss: 0.05381380 | Test Loss: 0.04449405 | Train Error: -0.42593139 | Test Error: -17.35035218 | Train Error_abs: 9.75141352 | Test Error_abs: 27.41136663
